Date,Bács-Kiskun,Baranya,Békés,Borsod-Abaúj-Zemplén,Csongrád-Csanád,Fejér,Győr-Moson-Sopron,Hajdú-Bihar,Heves,Jász-Nagykun-Szolnok,Komárom-Esztergom,Nógrád,Pest,Somogy,Szabolcs-Szatmár-Bereg,Tolna,Vas,Veszprém,Zala,Budapest
2020-03-31,8,20,3,6,17,12,25,8,2,4,12,5,89,11,24,7,8,10,6,215
2020-04-01,8,19,3,6,17,13,26,9,3,5,12,5,98,11,25,7,9,10,7,232
2020-04-02,15,19,3,6,21,18,28,10,3,7,13,6,122,11,27,7,9,10,7,243
2020-04-03,17,21,4,6,23,21,28,11,3,8,15,7,124,12,28,7,9,10,8,261
2020-04-04,18,21,6,6,25,21,33,13,3,7,14,8,134,12,28,7,11,10,10,291
2020-04-05,19,23,8,7,30,24,34,14,3,8,14,10,142,15,28,10,11,10,10,313
2020-04-06,19,23,8,7,32,24,34,15,4,8,14,10,142,15,28,12,11,10,11,317
2020-04-07,19,23,9,7,32,39,36,15,4,10,15,11,153,16,34,13,12,13,11,345
2020-04-08,19,23,10,7,40,49,37,15,4,10,15,12,164,17,36,13,12,14,11,387
2020-04-09,19,23,11,10,40,55,37,15,4,11,17,12,183,17,36,13,12,18,19,428
2020-04-10,21,28,11,10,42,72,43,17,5,12,17,12,194,17,37,13,13,23,23,580
