data,region,confirmed
2020-04-17,Rangpur,34
2020-04-18,Rangpur,43
2020-04-19,Rangpur,44
2020-04-20,Rangpur,50
2020-04-21,Rangpur,52
2020-04-22,Rangpur,60
2020-04-23,Rangpur,63
2020-04-24,Rangpur,70
2020-04-25,Rangpur,72
2020-04-26,Rangpur,76
2020-04-27,Rangpur,82
2020-04-28,Rangpur,104
2020-04-29,Rangpur,113
2020-04-30,Rangpur,122
2020-05-01,Rangpur,131
2020-05-02,Rangpur,149
2020-05-03,Rangpur,159
2020-05-04,Rangpur,180
2020-05-05,Rangpur,198
2020-05-06,Rangpur,220
2020-05-07,Rangpur,230
2020-05-08,Rangpur,252
2020-05-09,Rangpur,301
2020-05-10,Rangpur,311
2020-05-11,Rangpur,323
2020-05-12,Rangpur,323
2020-05-13,Rangpur,323
2020-05-14,Rangpur,359
2020-05-15,Rangpur,379
2020-05-16,Rangpur,448
2020-05-17,Rangpur,525
2020-05-18,Rangpur,525
2020-05-19,Rangpur,564
2020-05-20,Rangpur,564
2020-05-21,Rangpur,564
2020-05-22,Rangpur,564
2020-05-23,Rangpur,564
2020-05-24,Rangpur,564
2020-05-25,Rangpur,803
2020-05-26,Rangpur,822
2020-05-27,Rangpur,835
2020-05-28,Rangpur,856
2020-05-29,Rangpur,857
2020-05-30,Rangpur,919
2020-05-31,Rangpur,934
2020-06-01,Rangpur,995
2020-06-02,Rangpur,1065
2020-06-03,Rangpur,1080
2020-06-04,Rangpur,1108
2020-06-05,Rangpur,1109
2020-06-06,Rangpur,1136
2020-06-07,Rangpur,1149
2020-06-08,Rangpur,1166
2020-06-09,Rangpur,1166
2020-06-10,Rangpur,1196
2020-06-11,Rangpur,1243
2020-06-12,Rangpur,1275
2020-06-13,Rangpur,1305
2020-06-14,Rangpur,1305
2020-06-15,Rangpur,1356
2020-06-16,Rangpur,1356
2020-06-17,Rangpur,1356
2020-06-18,Rangpur,1356
2020-06-19,Rangpur,2248
2020-04-15,Khulna,3
2020-04-16,Khulna,3
2020-04-17,Khulna,6
2020-04-18,Khulna,6
2020-04-19,Khulna,6
2020-04-20,Khulna,9
2020-04-21,Khulna,9
2020-04-22,Khulna,23
2020-04-23,Khulna,37
2020-04-24,Khulna,38
2020-04-25,Khulna,38
2020-04-26,Khulna,65
2020-04-27,Khulna,83
2020-04-28,Khulna,101
2020-04-29,Khulna,136
2020-04-30,Khulna,142
2020-05-01,Khulna,147
2020-05-02,Khulna,147
2020-05-03,Khulna,150
2020-05-04,Khulna,150
2020-05-05,Khulna,172
2020-05-06,Khulna,189
2020-05-07,Khulna,194
2020-05-08,Khulna,203
2020-05-09,Khulna,217
2020-05-10,Khulna,217
2020-05-11,Khulna,229
2020-05-12,Khulna,229
2020-05-13,Khulna,229
2020-05-14,Khulna,276
2020-05-15,Khulna,276
2020-05-16,Khulna,335
2020-05-17,Khulna,351
2020-05-18,Khulna,351
2020-05-19,Khulna,391
2020-05-20,Khulna,391
2020-05-21,Khulna,391
2020-05-22,Khulna,391
2020-05-23,Khulna,391
2020-05-24,Khulna,391
2020-05-25,Khulna,485
2020-05-26,Khulna,497
2020-05-27,Khulna,505
2020-05-28,Khulna,521
2020-05-29,Khulna,530
2020-05-30,Khulna,550
2020-05-31,Khulna,592
2020-06-01,Khulna,632
2020-06-02,Khulna,672
2020-06-03,Khulna,712
2020-06-04,Khulna,748
2020-06-05,Khulna,783
2020-06-06,Khulna,814
2020-06-07,Khulna,880
2020-06-08,Khulna,949
2020-06-09,Khulna,949
2020-06-10,Khulna,1065
2020-06-11,Khulna,1180
2020-06-12,Khulna,1261
2020-06-13,Khulna,1371
2020-06-14,Khulna,1371
2020-06-15,Khulna,1371
2020-06-16,Khulna,1371
2020-06-17,Khulna,1371
2020-06-18,Khulna,1371
2020-06-19,Khulna,2092
2020-04-15,Barisal,23
2020-04-16,Barisal,25
2020-04-17,Barisal,31
2020-04-18,Barisal,36
2020-04-19,Barisal,41
2020-04-20,Barisal,47
2020-04-21,Barisal,65
2020-04-22,Barisal,71
2020-04-23,Barisal,74
2020-04-24,Barisal,86
2020-04-25,Barisal,94
2020-04-26,Barisal,102
2020-04-27,Barisal,102
2020-04-28,Barisal,111
2020-04-29,Barisal,112
2020-04-30,Barisal,119
2020-05-01,Barisal,123
2020-05-02,Barisal,123
2020-05-03,Barisal,130
2020-05-04,Barisal,130
2020-05-05,Barisal,117
2020-05-06,Barisal,118
2020-05-07,Barisal,129
2020-05-08,Barisal,130
2020-05-09,Barisal,137
2020-05-10,Barisal,146
2020-05-11,Barisal,151
2020-05-12,Barisal,151
2020-05-13,Barisal,151
2020-05-14,Barisal,156
2020-05-15,Barisal,158
2020-05-16,Barisal,158
2020-05-17,Barisal,161
2020-05-18,Barisal,161
2020-05-19,Barisal,161
2020-05-20,Barisal,161
2020-05-21,Barisal,161
2020-05-22,Barisal,161
2020-05-23,Barisal,161
2020-05-24,Barisal,161
2020-05-25,Barisal,210
2020-05-26,Barisal,211
2020-05-27,Barisal,212
2020-05-28,Barisal,225
2020-05-29,Barisal,231
2020-05-30,Barisal,231
2020-05-31,Barisal,297
2020-06-01,Barisal,320
2020-06-02,Barisal,403
2020-06-03,Barisal,422
2020-06-04,Barisal,476
2020-06-05,Barisal,490
2020-06-06,Barisal,498
2020-06-07,Barisal,507
2020-06-08,Barisal,519
2020-06-09,Barisal,519
2020-06-10,Barisal,543
2020-06-11,Barisal,571
2020-06-12,Barisal,607
2020-06-13,Barisal,607
2020-06-14,Barisal,607
2020-06-15,Barisal,955
2020-06-16,Barisal,955
2020-06-17,Barisal,955
2020-06-18,Barisal,955
2020-06-19,Barisal,1944
2020-04-15,Sylhet,5
2020-04-16,Sylhet,7
2020-04-17,Sylhet,7
2020-04-18,Sylhet,7
2020-04-19,Sylhet,7
2020-04-20,Sylhet,8
2020-04-21,Sylhet,18
2020-04-22,Sylhet,20
2020-04-23,Sylhet,33
2020-04-24,Sylhet,49
2020-04-25,Sylhet,49
2020-04-26,Sylhet,79
2020-04-27,Sylhet,89
2020-04-28,Sylhet,102
2020-04-29,Sylhet,108
2020-04-30,Sylhet,111
2020-05-01,Sylhet,114
2020-05-02,Sylhet,135
2020-05-03,Sylhet,135
2020-05-04,Sylhet,139
2020-05-05,Sylhet,149
2020-05-06,Sylhet,161
2020-05-07,Sylhet,161
2020-05-08,Sylhet,163
2020-05-09,Sylhet,163
2020-05-10,Sylhet,180
2020-05-11,Sylhet,184
2020-05-12,Sylhet,184
2020-05-13,Sylhet,184
2020-05-14,Sylhet,219
2020-05-15,Sylhet,219
2020-05-16,Sylhet,221
2020-05-17,Sylhet,245
2020-05-18,Sylhet,245
2020-05-19,Sylhet,245
2020-05-20,Sylhet,245
2020-05-21,Sylhet,245
2020-05-22,Sylhet,245
2020-05-23,Sylhet,245
2020-05-24,Sylhet,245
2020-05-25,Sylhet,552
2020-05-26,Sylhet,565
2020-05-27,Sylhet,597
2020-05-28,Sylhet,663
2020-05-29,Sylhet,663
2020-05-30,Sylhet,688
2020-05-31,Sylhet,643
2020-06-01,Sylhet,814
2020-06-02,Sylhet,871
2020-06-03,Sylhet,996
2020-06-04,Sylhet,1056
2020-06-05,Sylhet,1161
2020-06-06,Sylhet,1184
2020-06-07,Sylhet,1184
2020-06-08,Sylhet,1218
2020-06-09,Sylhet,1218
2020-06-10,Sylhet,1266
2020-06-11,Sylhet,1313
2020-06-12,Sylhet,1336
2020-06-13,Sylhet,1351
2020-06-14,Sylhet,1351
2020-06-15,Sylhet,1462
2020-06-16,Sylhet,1462
2020-06-17,Sylhet,1462
2020-06-18,Sylhet,1462
2020-06-19,Sylhet,3097
2020-04-15,Mymensingh,26
2020-04-16,Mymensingh,32
2020-04-17,Mymensingh,42
2020-04-18,Mymensingh,59
2020-04-19,Mymensingh,66
2020-04-20,Mymensingh,81
2020-04-21,Mymensingh,99
2020-04-22,Mymensingh,133
2020-04-23,Mymensingh,139
2020-04-24,Mymensingh,139
2020-04-25,Mymensingh,168
2020-04-26,Mymensingh,181
2020-04-27,Mymensingh,201
2020-04-28,Mymensingh,219
2020-04-29,Mymensingh,237
2020-04-30,Mymensingh,258
2020-05-01,Mymensingh,269
2020-05-02,Mymensingh,269
2020-05-03,Mymensingh,290
2020-05-04,Mymensingh,316
2020-05-05,Mymensingh,321
2020-05-06,Mymensingh,365
2020-05-07,Mymensingh,371
2020-05-08,Mymensingh,400
2020-05-09,Mymensingh,414
2020-05-10,Mymensingh,435
2020-05-11,Mymensingh,442
2020-05-12,Mymensingh,442
2020-05-13,Mymensingh,442
2020-05-14,Mymensingh,496
2020-05-15,Mymensingh,519
2020-05-16,Mymensingh,534
2020-05-17,Mymensingh,565
2020-05-18,Mymensingh,565
2020-05-19,Mymensingh,669
2020-05-20,Mymensingh,669
2020-05-21,Mymensingh,669
2020-05-22,Mymensingh,669
2020-05-23,Mymensingh,669
2020-05-24,Mymensingh,669
2020-05-25,Mymensingh,879
2020-05-26,Mymensingh,893
2020-05-27,Mymensingh,908
2020-05-28,Mymensingh,927
2020-05-29,Mymensingh,992
2020-05-30,Mymensingh,992
2020-05-31,Mymensingh,996
2020-06-01,Mymensingh,996
2020-06-02,Mymensingh,1012
2020-06-03,Mymensingh,1046
2020-06-04,Mymensingh,1132
2020-06-05,Mymensingh,1186
2020-06-06,Mymensingh,1255
2020-06-07,Mymensingh,1324
2020-06-08,Mymensingh,1391
2020-06-09,Mymensingh,1391
2020-06-10,Mymensingh,1268
2020-06-11,Mymensingh,1570
2020-06-12,Mymensingh,1570
2020-06-13,Mymensingh,1659
2020-06-14,Mymensingh,1659
2020-06-15,Mymensingh,1715
2020-06-16,Mymensingh,1715
2020-06-17,Mymensingh,1715
2020-06-18,Mymensingh,1715
2020-06-19,Mymensingh,2330
