Alue;Aika;val
Etelä-Karjalan SHP;2020-04-05;0
Etelä-Savon SHP;2020-04-05;0
Itä-Savon SHP;2020-04-05;1
Pohjois-Karjalan SHP;2020-04-05;0
Pohjois-Savon SHP;2020-04-05;2
Keski-Suomen SHP;2020-04-05;1
Etelä-Pohjanmaan SHP;2020-04-05;0
Vaasan SHP;2020-04-05;1
Keski-Pohjanmaan SHP;2020-04-05;0
Pohjois-Pohjanmaan SHP;2020-04-05;3
Kainuun SHP;2020-04-05;3
Länsi-Pohjan SHP;2020-04-05;3
Lapin SHP;2020-04-05;1
Helsingin ja Uudenmaan SHP;2020-04-05;87
Kaikki Alueet;2020-04-05;119
Ahvenanmaa;2020-04-06;0
Varsinais-Suomen SHP;2020-04-06;10
Satakunnan SHP;2020-04-06;2
Kanta-Hämeen SHP;2020-04-06;6
Pirkanmaan SHP;2020-04-06;6
Päijät-Hämeen SHP;2020-04-06;2
Kymenlaakson SHP;2020-04-06;1
Etelä-Karjalan SHP;2020-04-06;0
Etelä-Savon SHP;2020-04-06;1
Itä-Savon SHP;2020-04-06;0
Pohjois-Karjalan SHP;2020-04-06;1
Pohjois-Savon SHP;2020-04-06;6
Keski-Suomen SHP;2020-04-06;3
Etelä-Pohjanmaan SHP;2020-04-06;1
Vaasan SHP;2020-04-06;4
Keski-Pohjanmaan SHP;2020-04-06;2
Pohjois-Pohjanmaan SHP;2020-04-06;5
Kainuun SHP;2020-04-06;3
Länsi-Pohjan SHP;2020-04-06;9
Lapin SHP;2020-04-06;2
Helsingin ja Uudenmaan SHP;2020-04-06;147
Kaikki Alueet;2020-04-06;211
Ahvenanmaa;2020-04-07;0
Varsinais-Suomen SHP;2020-04-07;14
Satakunnan SHP;2020-04-07;1
Kanta-Hämeen SHP;2020-04-07;2
Pirkanmaan SHP;2020-04-07;4
Päijät-Hämeen SHP;2020-04-07;2
Kymenlaakson SHP;2020-04-07;2
Etelä-Karjalan SHP;2020-04-07;0
Etelä-Savon SHP;2020-04-07;1
Itä-Savon SHP;2020-04-07;0
Pohjois-Karjalan SHP;2020-04-07;1
Pohjois-Savon SHP;2020-04-07;16
Keski-Suomen SHP;2020-04-07;5
Etelä-Pohjanmaan SHP;2020-04-07;2
Vaasan SHP;2020-04-07;1
Keski-Pohjanmaan SHP;2020-04-07;0
Pohjois-Pohjanmaan SHP;2020-04-07;2
Kainuun SHP;2020-04-07;2
Länsi-Pohjan SHP;2020-04-07;6
Lapin SHP;2020-04-07;9
Helsingin ja Uudenmaan SHP;2020-04-07;129
Kaikki Alueet;2020-04-07;199
Ahvenanmaa;2020-04-08;0
Varsinais-Suomen SHP;2020-04-08;8
Satakunnan SHP;2020-04-08;1
Kanta-Hämeen SHP;2020-04-08;2
Pirkanmaan SHP;2020-04-08;3
Päijät-Hämeen SHP;2020-04-08;2
Kymenlaakson SHP;2020-04-08;1
Etelä-Karjalan SHP;2020-04-08;1
Etelä-Savon SHP;2020-04-08;1
Itä-Savon SHP;2020-04-08;0
Pohjois-Karjalan SHP;2020-04-08;1
Pohjois-Savon SHP;2020-04-08;2
Keski-Suomen SHP;2020-04-08;5
Etelä-Pohjanmaan SHP;2020-04-08;1
Vaasan SHP;2020-04-08;2
Keski-Pohjanmaan SHP;2020-04-08;1
Pohjois-Pohjanmaan SHP;2020-04-08;4
Kainuun SHP;2020-04-08;1
Länsi-Pohjan SHP;2020-04-08;5
Lapin SHP;2020-04-08;1
Helsingin ja Uudenmaan SHP;2020-04-08;96
Kaikki Alueet;2020-04-08;138
Ahvenanmaa;2020-04-09;1
Varsinais-Suomen SHP;2020-04-09;15
Satakunnan SHP;2020-04-09;3
Kanta-Hämeen SHP;2020-04-09;2
Pirkanmaan SHP;2020-04-09;4
Päijät-Hämeen SHP;2020-04-09;2
Kymenlaakson SHP;2020-04-09;0
Etelä-Karjalan SHP;2020-04-09;2
Etelä-Savon SHP;2020-04-09;2
Itä-Savon SHP;2020-04-09;0
Pohjois-Karjalan SHP;2020-04-09;0
Pohjois-Savon SHP;2020-04-09;5
Keski-Suomen SHP;2020-04-09;1
Etelä-Pohjanmaan SHP;2020-04-09;1
Vaasan SHP;2020-04-09;1
Keski-Pohjanmaan SHP;2020-04-09;2
Pohjois-Pohjanmaan SHP;2020-04-09;4
Kainuun SHP;2020-04-09;2
Länsi-Pohjan SHP;2020-04-09;2
Lapin SHP;2020-04-09;5
Helsingin ja Uudenmaan SHP;2020-04-09;104
Kaikki Alueet;2020-04-09;158
Ahvenanmaa;2020-04-10;0
Varsinais-Suomen SHP;2020-04-10;5
Satakunnan SHP;2020-04-10;0
Kanta-Hämeen SHP;2020-04-10;0
Pirkanmaan SHP;2020-04-10;0
Päijät-Hämeen SHP;2020-04-10;2
Kymenlaakson SHP;2020-04-10;0
Etelä-Karjalan SHP;2020-04-10;0
Etelä-Savon SHP;2020-04-10;0
Itä-Savon SHP;2020-04-10;0
Pohjois-Karjalan SHP;2020-04-10;0
Pohjois-Savon SHP;2020-04-10;1
Keski-Suomen SHP;2020-04-10;2
Etelä-Pohjanmaan SHP;2020-04-10;1
Vaasan SHP;2020-04-10;0
Keski-Pohjanmaan SHP;2020-04-10;0
Pohjois-Pohjanmaan SHP;2020-04-10;0
Kainuun SHP;2020-04-10;0
Länsi-Pohjan SHP;2020-04-10;2
Lapin SHP;2020-04-10;0
Helsingin ja Uudenmaan SHP;2020-04-10;58
Kaikki Alueet;2020-04-10;71
Ahvenanmaa;2020-04-11;1
Varsinais-Suomen SHP;2020-04-11;3
Satakunnan SHP;2020-04-11;1
Kanta-Hämeen SHP;2020-04-11;0
Pirkanmaan SHP;2020-04-11;8
Päijät-Hämeen SHP;2020-04-11;0
Kymenlaakson SHP;2020-04-11;0
Etelä-Karjalan SHP;2020-04-11;0
Etelä-Savon SHP;2020-04-11;4
Itä-Savon SHP;2020-04-11;0
Pohjois-Karjalan SHP;2020-04-11;2
Pohjois-Savon SHP;2020-04-11;3
Keski-Suomen SHP;2020-04-11;0
Etelä-Pohjanmaan SHP;2020-04-11;0
Vaasan SHP;2020-04-11;1
Keski-Pohjanmaan SHP;2020-04-11;0
Pohjois-Pohjanmaan SHP;2020-04-11;1
Kainuun SHP;2020-04-11;1
Länsi-Pohjan SHP;2020-04-11;5
Lapin SHP;2020-04-11;2
Helsingin ja Uudenmaan SHP;2020-04-11;43
Kaikki Alueet;2020-04-11;75
Ahvenanmaa;2020-04-12;0
Varsinais-Suomen SHP;2020-04-12;4
Satakunnan SHP;2020-04-12;0
Kanta-Hämeen SHP;2020-04-12;2
Pirkanmaan SHP;2020-04-12;2
Päijät-Hämeen SHP;2020-04-12;2
Kymenlaakson SHP;2020-04-12;1
Etelä-Karjalan SHP;2020-04-12;0
Etelä-Savon SHP;2020-04-12;0
Itä-Savon SHP;2020-04-12;0
Pohjois-Karjalan SHP;2020-04-12;1
Pohjois-Savon SHP;2020-04-12;2
Keski-Suomen SHP;2020-04-12;1
Etelä-Pohjanmaan SHP;2020-04-12;1
Vaasan SHP;2020-04-12;0
Keski-Pohjanmaan SHP;2020-04-12;0
Pohjois-Pohjanmaan SHP;2020-04-12;0
Kainuun SHP;2020-04-12;1
Länsi-Pohjan SHP;2020-04-12;2
Lapin SHP;2020-04-12;2
Helsingin ja Uudenmaan SHP;2020-04-12;57
Kaikki Alueet;2020-04-12;78
Ahvenanmaa;2020-04-13;0
Varsinais-Suomen SHP;2020-04-13;5
Satakunnan SHP;2020-04-13;1
Kanta-Hämeen SHP;2020-04-13;0
Pirkanmaan SHP;2020-04-13;0
Päijät-Hämeen SHP;2020-04-13;2
Kymenlaakson SHP;2020-04-13;0
Etelä-Karjalan SHP;2020-04-13;0
Etelä-Savon SHP;2020-04-13;2
Itä-Savon SHP;2020-04-13;1
Pohjois-Karjalan SHP;2020-04-13;0
Pohjois-Savon SHP;2020-04-13;1
Keski-Suomen SHP;2020-04-13;1
Etelä-Pohjanmaan SHP;2020-04-13;0
Vaasan SHP;2020-04-13;3
Keski-Pohjanmaan SHP;2020-04-13;0
Pohjois-Pohjanmaan SHP;2020-04-13;0
Kainuun SHP;2020-04-13;0
Länsi-Pohjan SHP;2020-04-13;7
Lapin SHP;2020-04-13;1
Helsingin ja Uudenmaan SHP;2020-04-13;93
Kaikki Alueet;2020-04-13;117
Ahvenanmaa;2020-04-14;0
Varsinais-Suomen SHP;2020-04-14;17
Satakunnan SHP;2020-04-14;2
Kanta-Hämeen SHP;2020-04-14;1
Pirkanmaan SHP;2020-04-14;1
Päijät-Hämeen SHP;2020-04-14;2
Kymenlaakson SHP;2020-04-14;1
Etelä-Karjalan SHP;2020-04-14;0
Etelä-Savon SHP;2020-04-14;0
Itä-Savon SHP;2020-04-14;0
Pohjois-Karjalan SHP;2020-04-14;3
Pohjois-Savon SHP;2020-04-14;4
Keski-Suomen SHP;2020-04-14;3
Etelä-Pohjanmaan SHP;2020-04-14;2
Vaasan SHP;2020-04-14;0
Keski-Pohjanmaan SHP;2020-04-14;0
Pohjois-Pohjanmaan SHP;2020-04-14;6
Kainuun SHP;2020-04-14;1
Länsi-Pohjan SHP;2020-04-14;6
Lapin SHP;2020-04-14;0
Helsingin ja Uudenmaan SHP;2020-04-14;126
Kaikki Alueet;2020-04-14;175
Ahvenanmaa;2020-04-15;0
Varsinais-Suomen SHP;2020-04-15;7
Satakunnan SHP;2020-04-15;1
Kanta-Hämeen SHP;2020-04-15;1
Pirkanmaan SHP;2020-04-15;2
Päijät-Hämeen SHP;2020-04-15;0
Kymenlaakson SHP;2020-04-15;1
Etelä-Karjalan SHP;2020-04-15;0
Etelä-Savon SHP;2020-04-15;0
Itä-Savon SHP;2020-04-15;0
Pohjois-Karjalan SHP;2020-04-15;0
Pohjois-Savon SHP;2020-04-15;2
Keski-Suomen SHP;2020-04-15;3
Etelä-Pohjanmaan SHP;2020-04-15;0
Vaasan SHP;2020-04-15;2
Keski-Pohjanmaan SHP;2020-04-15;0
Pohjois-Pohjanmaan SHP;2020-04-15;1
Kainuun SHP;2020-04-15;2
Länsi-Pohjan SHP;2020-04-15;3
Lapin SHP;2020-04-15;1
Helsingin ja Uudenmaan SHP;2020-04-15;104
Kaikki Alueet;2020-04-15;130
Ahvenanmaa;2020-04-16;0
Varsinais-Suomen SHP;2020-04-16;8
Satakunnan SHP;2020-04-16;2
Kanta-Hämeen SHP;2020-04-16;1
Pirkanmaan SHP;2020-04-16;3
Päijät-Hämeen SHP;2020-04-16;2
Kymenlaakson SHP;2020-04-16;0
Etelä-Karjalan SHP;2020-04-16;0
Etelä-Savon SHP;2020-04-16;1
Itä-Savon SHP;2020-04-16;0
Pohjois-Karjalan SHP;2020-04-16;1
Pohjois-Savon SHP;2020-04-16;3
Keski-Suomen SHP;2020-04-16;0
Etelä-Pohjanmaan SHP;2020-04-16;0
Vaasan SHP;2020-04-16;1
Keski-Pohjanmaan SHP;2020-04-16;0
Pohjois-Pohjanmaan SHP;2020-04-16;0
Kainuun SHP;2020-04-16;0
Länsi-Pohjan SHP;2020-04-16;5
Lapin SHP;2020-04-16;2
Helsingin ja Uudenmaan SHP;2020-04-16;91
Kaikki Alueet;2020-04-16;120
Ahvenanmaa;2020-04-17;0
Varsinais-Suomen SHP;2020-04-17;11
Satakunnan SHP;2020-04-17;0
Kanta-Hämeen SHP;2020-04-17;1
Pirkanmaan SHP;2020-04-17;2
Päijät-Hämeen SHP;2020-04-17;2
Kymenlaakson SHP;2020-04-17;0
Etelä-Karjalan SHP;2020-04-17;0
Etelä-Savon SHP;2020-04-17;0
Itä-Savon SHP;2020-04-17;0
Pohjois-Karjalan SHP;2020-04-17;0
Pohjois-Savon SHP;2020-04-17;1
Keski-Suomen SHP;2020-04-17;0
Etelä-Pohjanmaan SHP;2020-04-17;2
Vaasan SHP;2020-04-17;1
Keski-Pohjanmaan SHP;2020-04-17;0
Pohjois-Pohjanmaan SHP;2020-04-17;0
Kainuun SHP;2020-04-17;0
Länsi-Pohjan SHP;2020-04-17;5
Lapin SHP;2020-04-17;3
Helsingin ja Uudenmaan SHP;2020-04-17;97
Kaikki Alueet;2020-04-17;125
Ahvenanmaa;2020-04-18;0
Varsinais-Suomen SHP;2020-04-18;2
Satakunnan SHP;2020-04-18;0
Kanta-Hämeen SHP;2020-04-18;0
Pirkanmaan SHP;2020-04-18;1
Päijät-Hämeen SHP;2020-04-18;0
Kymenlaakson SHP;2020-04-18;0
Etelä-Karjalan SHP;2020-04-18;0
Etelä-Savon SHP;2020-04-18;0
Itä-Savon SHP;2020-04-18;0
Pohjois-Karjalan SHP;2020-04-18;0
Pohjois-Savon SHP;2020-04-18;0
Keski-Suomen SHP;2020-04-18;0
Etelä-Pohjanmaan SHP;2020-04-18;0
Vaasan SHP;2020-04-18;0
Keski-Pohjanmaan SHP;2020-04-18;0
Pohjois-Pohjanmaan SHP;2020-04-18;1
Kainuun SHP;2020-04-18;0
Länsi-Pohjan SHP;2020-04-18;1
Lapin SHP;2020-04-18;0
Helsingin ja Uudenmaan SHP;2020-04-18;53
Kaikki Alueet;2020-04-18;58
Ahvenanmaa;2020-04-19;0
Varsinais-Suomen SHP;2020-04-19;2
Satakunnan SHP;2020-04-19;1
Kanta-Hämeen SHP;2020-04-19;2
Pirkanmaan SHP;2020-04-19;2
Päijät-Hämeen SHP;2020-04-19;1
Kymenlaakson SHP;2020-04-19;0
Etelä-Karjalan SHP;2020-04-19;0
Etelä-Savon SHP;2020-04-19;0
Itä-Savon SHP;2020-04-19;0
Pohjois-Karjalan SHP;2020-04-19;0
Pohjois-Savon SHP;2020-04-19;1
Keski-Suomen SHP;2020-04-19;2
Etelä-Pohjanmaan SHP;2020-04-19;0
Vaasan SHP;2020-04-19;0
Keski-Pohjanmaan SHP;2020-04-19;0
Pohjois-Pohjanmaan SHP;2020-04-19;0
Kainuun SHP;2020-04-19;0
Länsi-Pohjan SHP;2020-04-19;3
Lapin SHP;2020-04-19;0
Helsingin ja Uudenmaan SHP;2020-04-19;56
Kaikki Alueet;2020-04-19;70
Ahvenanmaa;2020-04-20;0
Varsinais-Suomen SHP;2020-04-20;7
Satakunnan SHP;2020-04-20;0
Kanta-Hämeen SHP;2020-04-20;3
Pirkanmaan SHP;2020-04-20;3
Päijät-Hämeen SHP;2020-04-20;2
Kymenlaakson SHP;2020-04-20;1
Etelä-Karjalan SHP;2020-04-20;0
Etelä-Savon SHP;2020-04-20;0
Itä-Savon SHP;2020-04-20;0
Pohjois-Karjalan SHP;2020-04-20;0
Pohjois-Savon SHP;2020-04-20;1
Keski-Suomen SHP;2020-04-20;2
Etelä-Pohjanmaan SHP;2020-04-20;0
Vaasan SHP;2020-04-20;0
Keski-Pohjanmaan SHP;2020-04-20;0
Pohjois-Pohjanmaan SHP;2020-04-20;3
Kainuun SHP;2020-04-20;1
Länsi-Pohjan SHP;2020-04-20;5
Lapin SHP;2020-04-20;0
Helsingin ja Uudenmaan SHP;2020-04-20;115
Kaikki Alueet;2020-04-20;143
Ahvenanmaa;2020-04-21;0
Varsinais-Suomen SHP;2020-04-21;2
Satakunnan SHP;2020-04-21;0
Kanta-Hämeen SHP;2020-04-21;3
Pirkanmaan SHP;2020-04-21;3
Päijät-Hämeen SHP;2020-04-21;1
Kymenlaakson SHP;2020-04-21;1
Etelä-Karjalan SHP;2020-04-21;0
Etelä-Savon SHP;2020-04-21;0
Itä-Savon SHP;2020-04-21;0
Pohjois-Karjalan SHP;2020-04-21;1
Pohjois-Savon SHP;2020-04-21;0
Keski-Suomen SHP;2020-04-21;0
Etelä-Pohjanmaan SHP;2020-04-21;0
Vaasan SHP;2020-04-21;1
Keski-Pohjanmaan SHP;2020-04-21;0
Pohjois-Pohjanmaan SHP;2020-04-21;3
Kainuun SHP;2020-04-21;2
Länsi-Pohjan SHP;2020-04-21;2
Lapin SHP;2020-04-21;0
Helsingin ja Uudenmaan SHP;2020-04-21;94
Kaikki Alueet;2020-04-21;113
Ahvenanmaa;2020-04-22;1
Varsinais-Suomen SHP;2020-04-22;5
Satakunnan SHP;2020-04-22;1
Kanta-Hämeen SHP;2020-04-22;0
Pirkanmaan SHP;2020-04-22;3
Päijät-Hämeen SHP;2020-04-22;1
Kymenlaakson SHP;2020-04-22;0
Etelä-Karjalan SHP;2020-04-22;0
Etelä-Savon SHP;2020-04-22;0
Itä-Savon SHP;2020-04-22;0
Pohjois-Karjalan SHP;2020-04-22;0
Pohjois-Savon SHP;2020-04-22;0
Keski-Suomen SHP;2020-04-22;2
Etelä-Pohjanmaan SHP;2020-04-22;0
Vaasan SHP;2020-04-22;1
Keski-Pohjanmaan SHP;2020-04-22;0
Pohjois-Pohjanmaan SHP;2020-04-22;1
Kainuun SHP;2020-04-22;2
Länsi-Pohjan SHP;2020-04-22;3
Lapin SHP;2020-04-22;0
Helsingin ja Uudenmaan SHP;2020-04-22;102
Kaikki Alueet;2020-04-22;122
Ahvenanmaa;2020-04-23;0
Varsinais-Suomen SHP;2020-04-23;2
Satakunnan SHP;2020-04-23;1
Kanta-Hämeen SHP;2020-04-23;3
Pirkanmaan SHP;2020-04-23;2
Päijät-Hämeen SHP;2020-04-23;2
Kymenlaakson SHP;2020-04-23;0
Etelä-Karjalan SHP;2020-04-23;0
Etelä-Savon SHP;2020-04-23;0
Itä-Savon SHP;2020-04-23;0
Pohjois-Karjalan SHP;2020-04-23;0
Pohjois-Savon SHP;2020-04-23;0
Keski-Suomen SHP;2020-04-23;1
Etelä-Pohjanmaan SHP;2020-04-23;0
Vaasan SHP;2020-04-23;0
Keski-Pohjanmaan SHP;2020-04-23;0
Pohjois-Pohjanmaan SHP;2020-04-23;1
Kainuun SHP;2020-04-23;2
Länsi-Pohjan SHP;2020-04-23;2
Lapin SHP;2020-04-23;0
Helsingin ja Uudenmaan SHP;2020-04-23;101
Kaikki Alueet;2020-04-23;117
Ahvenanmaa;2020-04-24;0
Varsinais-Suomen SHP;2020-04-24;3
Satakunnan SHP;2020-04-24;0
Kanta-Hämeen SHP;2020-04-24;2
Pirkanmaan SHP;2020-04-24;2
Päijät-Hämeen SHP;2020-04-24;2
Kymenlaakson SHP;2020-04-24;0
Etelä-Karjalan SHP;2020-04-24;0
Etelä-Savon SHP;2020-04-24;0
Itä-Savon SHP;2020-04-24;0
Pohjois-Karjalan SHP;2020-04-24;0
Pohjois-Savon SHP;2020-04-24;0
Keski-Suomen SHP;2020-04-24;2
Etelä-Pohjanmaan SHP;2020-04-24;0
Vaasan SHP;2020-04-24;0
Keski-Pohjanmaan SHP;2020-04-24;0
Pohjois-Pohjanmaan SHP;2020-04-24;2
Kainuun SHP;2020-04-24;3
Länsi-Pohjan SHP;2020-04-24;5
Lapin SHP;2020-04-24;0
Helsingin ja Uudenmaan SHP;2020-04-24;72
Kaikki Alueet;2020-04-24;93
Ahvenanmaa;2020-04-25;0
Varsinais-Suomen SHP;2020-04-25;1
Satakunnan SHP;2020-04-25;0
Kanta-Hämeen SHP;2020-04-25;0
Pirkanmaan SHP;2020-04-25;0
Päijät-Hämeen SHP;2020-04-25;0
Kymenlaakson SHP;2020-04-25;0
Etelä-Karjalan SHP;2020-04-25;0
Etelä-Savon SHP;2020-04-25;0
Itä-Savon SHP;2020-04-25;0
Pohjois-Karjalan SHP;2020-04-25;0
Pohjois-Savon SHP;2020-04-25;0
Keski-Suomen SHP;2020-04-25;0
Etelä-Pohjanmaan SHP;2020-04-25;0
Vaasan SHP;2020-04-25;0
Keski-Pohjanmaan SHP;2020-04-25;0
Pohjois-Pohjanmaan SHP;2020-04-25;0
Kainuun SHP;2020-04-25;0
Länsi-Pohjan SHP;2020-04-25;4
Lapin SHP;2020-04-25;0
Helsingin ja Uudenmaan SHP;2020-04-25;71
Kaikki Alueet;2020-04-25;76
Ahvenanmaa;2020-04-26;0
Varsinais-Suomen SHP;2020-04-26;5
Satakunnan SHP;2020-04-26;0
Kanta-Hämeen SHP;2020-04-26;1
Pirkanmaan SHP;2020-04-26;1
Päijät-Hämeen SHP;2020-04-26;1
Kymenlaakson SHP;2020-04-26;1
Etelä-Karjalan SHP;2020-04-26;0
Etelä-Savon SHP;2020-04-26;1
Itä-Savon SHP;2020-04-26;0
Pohjois-Karjalan SHP;2020-04-26;0
Pohjois-Savon SHP;2020-04-26;0
Keski-Suomen SHP;2020-04-26;2
Etelä-Pohjanmaan SHP;2020-04-26;0
Vaasan SHP;2020-04-26;0
Keski-Pohjanmaan SHP;2020-04-26;0
Pohjois-Pohjanmaan SHP;2020-04-26;0
Kainuun SHP;2020-04-26;1
Länsi-Pohjan SHP;2020-04-26;3
Lapin SHP;2020-04-26;0
Helsingin ja Uudenmaan SHP;2020-04-26;57
Kaikki Alueet;2020-04-26;73
Ahvenanmaa;2020-04-27;0
Varsinais-Suomen SHP;2020-04-27;6
Satakunnan SHP;2020-04-27;0
Kanta-Hämeen SHP;2020-04-27;2
Pirkanmaan SHP;2020-04-27;5
Päijät-Hämeen SHP;2020-04-27;1
Kymenlaakson SHP;2020-04-27;1
Etelä-Karjalan SHP;2020-04-27;0
Etelä-Savon SHP;2020-04-27;0
Itä-Savon SHP;2020-04-27;0
Pohjois-Karjalan SHP;2020-04-27;0
Pohjois-Savon SHP;2020-04-27;2
Keski-Suomen SHP;2020-04-27;1
Etelä-Pohjanmaan SHP;2020-04-27;0
Vaasan SHP;2020-04-27;2
Keski-Pohjanmaan SHP;2020-04-27;0
Pohjois-Pohjanmaan SHP;2020-04-27;0
Kainuun SHP;2020-04-27;2
Länsi-Pohjan SHP;2020-04-27;3
Lapin SHP;2020-04-27;2
Helsingin ja Uudenmaan SHP;2020-04-27;92
Kaikki Alueet;2020-04-27;119
Ahvenanmaa;2020-04-28;0
Varsinais-Suomen SHP;2020-04-28;3
Satakunnan SHP;2020-04-28;1
Kanta-Hämeen SHP;2020-04-28;1
Pirkanmaan SHP;2020-04-28;6
Päijät-Hämeen SHP;2020-04-28;0
Kymenlaakson SHP;2020-04-28;0
Etelä-Karjalan SHP;2020-04-28;0
Etelä-Savon SHP;2020-04-28;0
Itä-Savon SHP;2020-04-28;0
Pohjois-Karjalan SHP;2020-04-28;0
Pohjois-Savon SHP;2020-04-28;2
Keski-Suomen SHP;2020-04-28;0
Etelä-Pohjanmaan SHP;2020-04-28;0
Vaasan SHP;2020-04-28;0
Keski-Pohjanmaan SHP;2020-04-28;0
Pohjois-Pohjanmaan SHP;2020-04-28;3
Kainuun SHP;2020-04-28;1
Länsi-Pohjan SHP;2020-04-28;0
Lapin SHP;2020-04-28;1
Helsingin ja Uudenmaan SHP;2020-04-28;121
Kaikki Alueet;2020-04-28;139
Ahvenanmaa;2020-04-29;0
Varsinais-Suomen SHP;2020-04-29;2
Satakunnan SHP;2020-04-29;1
Kanta-Hämeen SHP;2020-04-29;0
Pirkanmaan SHP;2020-04-29;3
Päijät-Hämeen SHP;2020-04-29;0
Kymenlaakson SHP;2020-04-29;0
Etelä-Karjalan SHP;2020-04-29;0
Etelä-Savon SHP;2020-04-29;0
Itä-Savon SHP;2020-04-29;0
Pohjois-Karjalan SHP;2020-04-29;0
Pohjois-Savon SHP;2020-04-29;0
Keski-Suomen SHP;2020-04-29;0
Etelä-Pohjanmaan SHP;2020-04-29;0
Vaasan SHP;2020-04-29;0
Keski-Pohjanmaan SHP;2020-04-29;0
Pohjois-Pohjanmaan SHP;2020-04-29;1
Kainuun SHP;2020-04-29;0
Länsi-Pohjan SHP;2020-04-29;3
Lapin SHP;2020-04-29;0
Helsingin ja Uudenmaan SHP;2020-04-29;95
Kaikki Alueet;2020-04-29;105
Ahvenanmaa;2020-04-30;0
Varsinais-Suomen SHP;2020-04-30;9
Satakunnan SHP;2020-04-30;0
Kanta-Hämeen SHP;2020-04-30;1
Pirkanmaan SHP;2020-04-30;1
Päijät-Hämeen SHP;2020-04-30;1
Kymenlaakson SHP;2020-04-30;0
Etelä-Karjalan SHP;2020-04-30;0
Etelä-Savon SHP;2020-04-30;0
Itä-Savon SHP;2020-04-30;0
Pohjois-Karjalan SHP;2020-04-30;0
Pohjois-Savon SHP;2020-04-30;0
Keski-Suomen SHP;2020-04-30;0
Etelä-Pohjanmaan SHP;2020-04-30;0
Vaasan SHP;2020-04-30;0
Keski-Pohjanmaan SHP;2020-04-30;0
Pohjois-Pohjanmaan SHP;2020-04-30;1
Kainuun SHP;2020-04-30;1
Länsi-Pohjan SHP;2020-04-30;4
Lapin SHP;2020-04-30;0
Helsingin ja Uudenmaan SHP;2020-04-30;69
Kaikki Alueet;2020-04-30;87
Ahvenanmaa;2020-05-01;0
Varsinais-Suomen SHP;2020-05-01;4
Satakunnan SHP;2020-05-01;0
Kanta-Hämeen SHP;2020-05-01;1
Pirkanmaan SHP;2020-05-01;0
Päijät-Hämeen SHP;2020-05-01;0
Kymenlaakson SHP;2020-05-01;1
Etelä-Karjalan SHP;2020-05-01;0
Etelä-Savon SHP;2020-05-01;0
Itä-Savon SHP;2020-05-01;0
Pohjois-Karjalan SHP;2020-05-01;0
Pohjois-Savon SHP;2020-05-01;0
Keski-Suomen SHP;2020-05-01;0
Etelä-Pohjanmaan SHP;2020-05-01;0
Vaasan SHP;2020-05-01;1
Keski-Pohjanmaan SHP;2020-05-01;0
Pohjois-Pohjanmaan SHP;2020-05-01;0
Kainuun SHP;2020-05-01;0
Länsi-Pohjan SHP;2020-05-01;2
Lapin SHP;2020-05-01;0
Helsingin ja Uudenmaan SHP;2020-05-01;39
Kaikki Alueet;2020-05-01;48
Ahvenanmaa;2020-05-02;0
Varsinais-Suomen SHP;2020-05-02;0
Satakunnan SHP;2020-05-02;0
Kanta-Hämeen SHP;2020-05-02;2
Pirkanmaan SHP;2020-05-02;3
Päijät-Hämeen SHP;2020-05-02;0
Kymenlaakson SHP;2020-05-02;1
Etelä-Karjalan SHP;2020-05-02;0
Etelä-Savon SHP;2020-05-02;0
Itä-Savon SHP;2020-05-02;0
Pohjois-Karjalan SHP;2020-05-02;0
Pohjois-Savon SHP;2020-05-02;0
Keski-Suomen SHP;2020-05-02;0
Etelä-Pohjanmaan SHP;2020-05-02;0
Vaasan SHP;2020-05-02;0
Keski-Pohjanmaan SHP;2020-05-02;0
Pohjois-Pohjanmaan SHP;2020-05-02;0
Kainuun SHP;2020-05-02;0
Länsi-Pohjan SHP;2020-05-02;2
Lapin SHP;2020-05-02;0
Helsingin ja Uudenmaan SHP;2020-05-02;49
Kaikki Alueet;2020-05-02;57
Ahvenanmaa;2020-05-03;0
Varsinais-Suomen SHP;2020-05-03;1
Satakunnan SHP;2020-05-03;0
Kanta-Hämeen SHP;2020-05-03;1
Pirkanmaan SHP;2020-05-03;2
Päijät-Hämeen SHP;2020-05-03;0
Kymenlaakson SHP;2020-05-03;0
Etelä-Karjalan SHP;2020-05-03;0
Etelä-Savon SHP;2020-05-03;0
Itä-Savon SHP;2020-05-03;0
Pohjois-Karjalan SHP;2020-05-03;0
Pohjois-Savon SHP;2020-05-03;0
Keski-Suomen SHP;2020-05-03;0
Etelä-Pohjanmaan SHP;2020-05-03;0
Vaasan SHP;2020-05-03;0
Keski-Pohjanmaan SHP;2020-05-03;0
Pohjois-Pohjanmaan SHP;2020-05-03;0
Kainuun SHP;2020-05-03;0
Länsi-Pohjan SHP;2020-05-03;1
Lapin SHP;2020-05-03;0
Helsingin ja Uudenmaan SHP;2020-05-03;57
Kaikki Alueet;2020-05-03;62
Ahvenanmaa;2020-05-04;0
Varsinais-Suomen SHP;2020-05-04;6
Satakunnan SHP;2020-05-04;0
Kanta-Hämeen SHP;2020-05-04;7
Pirkanmaan SHP;2020-05-04;2
Päijät-Hämeen SHP;2020-05-04;2
Kymenlaakson SHP;2020-05-04;2
Etelä-Karjalan SHP;2020-05-04;1
Etelä-Savon SHP;2020-05-04;1
Itä-Savon SHP;2020-05-04;0
