Alue;Aika;val
Kaikki Alueet;2020-01-07;
Ahvenanmaa;2020-01-08;
Varsinais-Suomen SHP;2020-01-08;
Satakunnan SHP;2020-01-08;
Kanta-Hämeen SHP;2020-01-08;
Pirkanmaan SHP;2020-01-08;
Päijät-Hämeen SHP;2020-01-08;
Kymenlaakson SHP;2020-01-08;
Etelä-Karjalan SHP;2020-01-08;
Etelä-Savon SHP;2020-01-08;
Itä-Savon SHP;2020-01-08;
Pohjois-Karjalan SHP;2020-01-08;
Pohjois-Savon SHP;2020-01-08;
Keski-Suomen SHP;2020-01-08;
Etelä-Pohjanmaan SHP;2020-01-08;
Vaasan SHP;2020-01-08;
Keski-Pohjanmaan SHP;2020-01-08;
Pohjois-Pohjanmaan SHP;2020-01-08;
Kainuun SHP;2020-01-08;
Länsi-Pohjan SHP;2020-01-08;
Lapin SHP;2020-01-08;
Helsingin ja Uudenmaan SHP;2020-01-08;
Kaikki Alueet;2020-01-08;
Ahvenanmaa;2020-01-09;
Varsinais-Suomen SHP;2020-01-09;
Satakunnan SHP;2020-01-09;
Kanta-Hämeen SHP;2020-01-09;
Pirkanmaan SHP;2020-01-09;
Päijät-Hämeen SHP;2020-01-09;
Kymenlaakson SHP;2020-01-09;
Etelä-Karjalan SHP;2020-01-09;
Etelä-Savon SHP;2020-01-09;
Itä-Savon SHP;2020-01-09;
Pohjois-Karjalan SHP;2020-01-09;
Pohjois-Savon SHP;2020-01-09;
Keski-Suomen SHP;2020-01-09;
Etelä-Pohjanmaan SHP;2020-01-09;
Vaasan SHP;2020-01-09;
Keski-Pohjanmaan SHP;2020-01-09;
Pohjois-Pohjanmaan SHP;2020-01-09;
Kainuun SHP;2020-01-09;
Länsi-Pohjan SHP;2020-01-09;
Lapin SHP;2020-01-09;
Helsingin ja Uudenmaan SHP;2020-01-09;
Kaikki Alueet;2020-01-09;
Ahvenanmaa;2020-01-10;
Varsinais-Suomen SHP;2020-01-10;
Satakunnan SHP;2020-01-10;
Kanta-Hämeen SHP;2020-01-10;
Pirkanmaan SHP;2020-01-10;
Päijät-Hämeen SHP;2020-01-10;
Kymenlaakson SHP;2020-01-10;
Etelä-Karjalan SHP;2020-01-10;
Etelä-Savon SHP;2020-01-10;
Itä-Savon SHP;2020-01-10;
Pohjois-Karjalan SHP;2020-01-10;
Pohjois-Savon SHP;2020-01-10;
Keski-Suomen SHP;2020-01-10;
Etelä-Pohjanmaan SHP;2020-01-10;
Vaasan SHP;2020-01-10;
Keski-Pohjanmaan SHP;2020-01-10;
Pohjois-Pohjanmaan SHP;2020-01-10;
Kainuun SHP;2020-01-10;
Länsi-Pohjan SHP;2020-01-10;
Lapin SHP;2020-01-10;
Helsingin ja Uudenmaan SHP;2020-01-10;
Kaikki Alueet;2020-01-10;
Ahvenanmaa;2020-01-11;
Varsinais-Suomen SHP;2020-01-11;
Satakunnan SHP;2020-01-11;
Kanta-Hämeen SHP;2020-01-11;
