"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"186","2020-10-27","10","31","65"
"187","2020-10-28","20","29","24"
"188","2020-10-29","13","15","25"
"189","2020-10-30","13","13","25"
"190","2020-10-31","11","18","1"
"191","2020-11-01","19","14","1"
"192","2020-11-02","16","17","1"
"193","2020-11-03","9","32","19"
"194","2020-11-04","7","21","34"
"195","2020-11-05","7","8","56"
"196","2020-11-06","7","8","28"
"197","2020-11-07","16","1","3"
"198","2020-11-08","11","13","0"
"199","2020-11-09","14","17","26"
"200","2020-11-10","26","24","18"
"201","2020-11-11","14","16","20"
"202","2020-11-12","13","11","7"
"203","2020-11-13","13","51","45"
"204","2020-11-14","11","26","17"
"205","2020-11-15","14","23","13"
"206","2020-11-16","9","28","14"
"207","2020-11-17","7","19","11"
"208","2020-11-18","8","28","16"
"209","2020-11-19","10","18","27"
"210","2020-11-20","26","15","15"
"211","2020-11-21","9","6","1"
"212","2020-11-22","7","5","0"
"213","2020-11-23","13","17","10"
"214","2020-11-24","9","22","16"
"215","2020-11-25","19","20","46"
"216","2020-11-26","5","14","9"
"217","2020-11-27","5","29","17"
"218","2020-11-28","20","7","3"
"219","2020-11-29","12","9","7"
"220","2020-11-30","10","23","20"
"221","2020-12-01","17","17","54"
"222","2020-12-02","11","32","29"
"223","2020-12-03","8","9","12"
"224","2020-12-04","4","13","6"
"225","2020-12-05","9","11","6"
"226","2020-12-06","8","6","18"
"227","2020-12-07","7","17","21"
"228","2020-12-08","7","17","8"
"229","2020-12-09","11","14","26"
"230","2020-12-10","14","13","37"
"231","2020-12-11","9","13","26"
"232","2020-12-12","9","8","10"
"233","2020-12-13","15","10","1"
"234","2020-12-14","9","21","24"
"235","2020-12-15","15","16","50"
"236","2020-12-16","14","23","9"
"237","2020-12-17","8","14","26"
"238","2020-12-18","17","14","16"
"239","2020-12-19","10","22","4"
"240","2020-12-20","24","9","1"
"241","2020-12-21","10","16","12"
"242","2020-12-22","6","24","11"
"243","2020-12-23","10","33","17"
"244","2020-12-24","13","6","3"
"245","2020-12-25","10","3","0"
"246","2020-12-26","17","20","3"
"247","2020-12-27","13","11","1"
"248","2020-12-28","19","20","38"
"249","2020-12-29","4","27","37"
"250","2020-12-30","8","18","33"
"251","2020-12-31","10","7","2"
"252","2021-01-01","12","5","0"
"253","2021-01-02","10","28","2"
"254","2021-01-03","13","16","1"
"255","2021-01-04","21","35","16"
"256","2021-01-05","15","21","48"
"257","2021-01-06","20","21","34"
"258","2021-01-07","16","21","32"
"259","2021-01-08","20","25","46"
"260","2021-01-09","19","27","4"
"261","2021-01-10","20","19","9"
