Kode Provinsi BPS,Provinsi,Kasus Kumulatif,% Provinsi,,,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep
61,Kalimantan Barat,982,0.3%,8,,2,2,2,2,3,3,3,3,3,8,9,9,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,21,21,21,21,21,27,31,50,50,51,51,51,51,58,58,61,68,70,73,73,90,95,95,118,120,120,123,129,129,129,131,132,132,132,132,133,140,168,168,175,176,183,184,184,184,189,196,196,202,202,205,210,210,210,234,245,245,267,267,268,268,270,282,282,296,298,298,298,313,313,313,313,321,321,321,321,336,336,336,336,339,339,344,344,347,347,347,350,355,355,355,359,359,359,359,359,359,359,359,359,365,365,365,381,381,381,387,387,387,387,387,387,394,397,397,410,416,420,429,439,444,447,447,447,452,456,471,500,533,566,578,605,605,611,611,627,645,645,653,659,674,685,691,704,704,711,723,728,736,747,754,780,784,803,825,840,861,867,868,879,885,901,935,946,957,957,974,982
62,Kalimantan Tengah,3645,1.3%,11,,2,2,2,2,3,4,6,6,7,7,7,9,9,9,11,11,11,20,20,20,20,24,24,24,25,25,33,34,35,41,46,60,67,82,83,94,100,104,112,121,127,145,156,157,157,180,181,186,188,188,189,193,200,204,220,223,227,227,227,227,232,241,254,290,292,308,310,322,330,337,367,398,410,419,428,456,469,484,496,496,504,522,537,552,565,586,586,631,657,702,738,738,764,764,785,796,800,810,817,822,834,881,894,931,946,996,1004,1032,1040,1058,1073,1096,1131,1157,1196,1222,1254,1254,1266,1324,1324,1399,1399,1412,1448,1475,1520,1587,1632,1653,1677,1677,1701,1729,1760,1777,1791,1844,1849,1874,1911,1977,2007,2050,2081,2087,2131,2151,2188,2188,2215,2258,2258,2291,2314,2348,2410,2427,2438,2446,2464,2464,2482,2507,2548,2585,2585,2636,2689,2689,2740,2807,2807,2851,2887,2920,2966,3002,3002,3059,3123,3123,3178,3228,3272,3300,3300,3392,3431,3474,3474,3485,3549,3634,3645
63,Kalimantan Selatan,10348,3.6%,59,,0,0,1,1,1,1,1,1,1,1,6,8,8,8,8,8,16,18,18,22,22,29,29,34,34,37,49,59,74,92,96,96,98,107,114,132,146,146,150,150,157,170,179,179,195,198,212,225,238,246,253,263,263,277,291,294,363,370,372,438,484,547,557,572,590,599,602,630,703,819,893,893,919,948,969,1033,1142,1213,1247,1285,1347,1438,1565,1634,1694,1817,1887,1953,2122,2208,2326,2392,2475,2569,2658,2685,2775,2835,2876,2930,3003,3042,3148,3223,3337,3447,3520,3564,3628,3695,3818,3926,3990,4069,4146,4218,4379,4488,4621,4722,4829,4938,4991,5083,5216,5332,5422,5540,5656,5689,5782,5884,5970,6098,6160,6192,6238,6357,6411,6478,6535,6617,6715,6765,6836,6889,6934,6989,7051,7151,7241,7281,7363,7544,7618,7696,7777,7838,7920,7974,8013,8081,8192,8256,8288,8357,8416,8527,8576,8657,8760,8837,8903,9001,9078,9152,9249,9282,9423,9500,9511,9547,9572,9650,9735,9817,9902,9984,10047,10080,10120,10197,10237,10289,10348
64,Kalimantan Timur,8651,3.0%,213,,9,9,9,11,11,11,11,11,17,17,17,20,21,21,22,24,30,31,31,32,32,35,35,35,35,35,35,44,44,54,59,63,68,69,74,85,97,105,107,115,119,134,136,154,162,167,168,182,182,209,214,218,225,228,230,238,251,253,254,255,258,264,266,271,274,276,276,277,280,281,285,291,295,297,298,310,316,317,327,329,338,351,362,365,373,376,378,382,392,397,405,417,423,434,435,447,456,473,483,494,503,510,518,525,531,544,557,584,597,603,617,623,642,673,690,695,722,756,780,823,848,868,893,964,994,1034,1072,1134,1166,1184,1250,1307,1377,1426,1433,1516,1538,1598,1665,1701,1799,1834,1887,1932,2060,2106,2129,2227,2283,2369,2485,2578,2669,2697,2892,3021,3101,3145,3286,3420,3626,3723,3923,4120,4244,4305,4377,4534,4815,4943,5129,5191,5277,5357,5447,5599,5752,5926,6049,6100,6317,6486,6605,6716,6776,6954,7068,7264,7459,7851,8070,8210,8324,8438,8651
65,Kalimantan Utara,577,0.2%,2,,0,0,0,0,0,0,0,0,2,2,2,2,2,2,8,8,8,15,15,16,16,16,16,16,16,16,20,28,47,50,69,74,77,77,77,77,83,89,90,92,92,100,115,122,122,130,131,131,131,131,131,131,132,132,138,138,141,153,155,155,160,160,162,163,163,164,164,164,165,165,165,165,165,165,165,165,165,167,168,169,169,170,170,170,170,170,170,170,171,171,171,173,175,176,177,177,179,188,197,201,201,204,206,206,206,206,206,206,206,206,206,214,214,214,214,215,215,215,215,216,216,216,217,217,217,218,218,266,266,266,268,268,280,283,284,284,284,287,287,291,291,292,294,296,299,303,312,312,325,328,329,329,332,337,339,340,349,357,360,361,361,373,379,382,384,392,396,422,426,435,443,448,455,456,458,460,465,469,474,479,481,483,485,488,489,492,503,532,550,556,563,569,573,575,577
71,Sulawesi Utara,4487,1.6%,31,,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,5,8,8,8,13,13,17,17,17,18,18,18,20,20,20,20,20,31,36,36,40,40,43,44,45,45,45,45,45,45,45,45,47,53,71,71,74,82,83,105,114,114,116,126,152,180,198,201,230,239,265,281,297,306,322,339,339,354,377,382,391,470,495,510,527,546,579,644,651,658,676,701,736,761,784,809,853,854,861,892,938,984,1025,1057,1082,1109,1129,1159,1178,1192,1208,1218,1252,1342,1436,1570,1637,1660,1680,1697,1741,1769,1797,1851,1898,1962,2000,2077,2120,2162,2216,2263,2313,2357,2415,2502,2580,2648,2668,2746,2776,2794,2822,2840,2860,2904,2976,3012,3025,3150,3211,3261,3282,3288,3315,3336,3401,3451,3522,3552,3554,3598,3613,3652,3686,3751,3833,3848,3893,3908,3942,3972,3990,4002,4003,4024,4046,4064,4085,4105,4149,4165,4171,4182,4212,4232,4254,4295,4317,4329,4335,4357,4390,4412,4437,4444,4456,4487
72,Sulawesi Tengah,410,0.1%,8,,0,0,0,0,0,0,1,1,2,3,3,2,2,2,4,4,4,5,5,5,5,14,19,19,19,19,22,22,24,24,27,27,27,29,29,32,36,36,36,42,47,47,48,59,59,59,70,70,75,75,75,83,83,95,102,111,112,113,115,115,115,115,117,118,121,121,121,121,121,126,126,126,128,128,128,129,129,136,139,159,159,159,159,159,159,168,170,171,172,172,172,173,173,173,176,179,180,181,183,184,186,186,186,186,186,186,191,191,191,191,193,193,193,193,193,193,194,195,195,195,195,196,196,196,196,200,201,201,202,202,206,207,207,207,207,213,213,213,215,215,216,216,216,216,216,220,220,223,223,223,227,228,233,233,235,236,238,239,239,239,239,240,241,241,243,244,245,249,249,252,252,252,257,261,261,268,269,271,271,272,276,278,289,297,320,321,330,344,348,354,375,375,393,402,410
73,Sulawesi Selatan,15579,5.4%,78,,0,2,2,4,4,13,27,29,32,46,50,51,66,66,82,80,83,112,127,128,138,167,178,223,222,231,242,270,332,343,370,370,374,387,397,420,432,440,440,453,465,491,547,577,601,607,640,665,684,708,710,722,722,748,803,840,871,917,951,1017,1064,1101,1135,1205,1264,1296,1319,1352,1381,1427,1468,1510,1541,1586,1630,1668,1722,1776,1840,1904,2014,2194,2383,2524,2582,2707,2840,2941,3116,3200,3366,3573,3685,3797,3908,4062,4194,4297,4469,4615,4807,4995,5084,5214,5379,5559,5754,5890,5974,6192,6358,6488,6620,6800,6973,7097,7294,7452,7630,7713,7881,8039,8164,8257,8407,8527,8612,8748,8881,8991,9123,9251,9346,9422,9552,9647,9744,9860,9987,10169,10257,10364,10454,10531,10585,10675,10756,10793,10895,11051,11148,11187,11219,11278,11376,11437,11470,11516,11568,11638,11680,11756,11841,11870,11978,12057,12194,12244,12321,12475,12684,12695,12746,12864,13032,13183,13235,13291,13476,13583,13747,13867,14026,14193,14367,14403,14524,14648,14813,14982,15175,15295,15354,15501,15579
74,Sulawesi Tenggara,2862,1.0%,43,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,6,7,7,10,15,15,16,16,16,16,24,27,27,28,37,37,37,37,37,41,41,45,45,45,53,62,62,64,64,64,69,69,69,70,71,76,76,76,166,166,183,189,191,191,202,202,202,211,215,215,215,215,226,240,241,241,244,244,244,251,252,257,257,259,259,263,266,272,277,279,283,286,291,292,326,329,332,332,334,336,337,337,340,343,343,345,363,405,464,475,479,482,484,487,494,500,507,509,511,518,521,531,540,554,575,587,635,671,685,712,735,752,768,769,769,776,782,782,787,787,789,859,892,951,978,998,1020,1020,1052,1076,1106,1139,1167,1202,1216,1217,1217,1277,1299,1310,1323,1327,1365,1402,1452,1501,1539,1565,1566,1608,1623,1629,1661,1677,1706,1706,1717,1741,1767,1801,1834,1869,1890,1948,2008,2043,2060,2119,2187,2223,2261,2351,2422,2501,2681,2763,2780,2819,2862
75,Gorontalo,2753,1.0%,82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,4,4,4,7,7,7,12,14,14,14,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,21,22,23,24,28,28,28,44,47,49,58,58,58,60,65,68,69,94,94,108,118,121,121,126,134,134,139,145,149,181,185,185,208,214,214,214,220,220,227,230,231,238,243,243,243,243,243,249,249,256,261,269,269,271,276,286,286,316,345,359,363,385,392,416,425,426,432,537,616,616,620,694,796,820,851,855,957,1015,1015,1157,1284,1322,1387,1427,1431,1469,1549,1556,1614,1617,1664,1672,1675,1715,1721,1788,1821,1875,1875,1887,1887,1959,1959,1970,1970,2023,2035,2041,2041,2041,2075,2090,2151,2160,2182,2186,2201,2225,2241,2269,2271,2282,2314,2314,2330,2336,2341,2353,2375,2435,2437,2441,2489,2489,2534,2539,2572,2659,2671,2753
76,Sulawesi Barat,794,0.3%,21,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,5,5,5,5,7,7,7,7,7,7,7,8,8,33,35,35,35,37,38,42,43,44,44,44,58,58,58,60,62,62,62,67,73,74,74,75,75,75,77,78,86,86,86,86,86,87,88,88,88,88,92,92,92,92,92,92,92,94,94,94,95,96,97,97,98,98,98,99,104,104,104,104,104,104,105,106,108,113,114,114,115,117,119,120,124,124,124,127,129,130,135,138,142,143,146,152,154,154,158,159,166,167,169,171,175,187,192,193,195,201,223,230,232,238,239,242,245,265,267,275,275,275,282,282,287,299,306,307,319,320,322,323,331,347,352,353,360,362,368,384,388,393,395,396,396,402,402,419,419,419,435,450,456,459,462,470,471,475,477,482,484,485,504,505,530,540,546,567,571,617,617,773,794
81,Maluku,2815,1.0%,0,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,11,11,11,14,14,14,17,17,17,17,17,17,17,22,22,22,22,23,23,23,23,23,23,23,23,23,32,32,32,32,50,50,62,62,62,84,107,107,124,135,157,157,159,160,160,170,188,215,215,223,223,223,238,238,254,261,269,307,315,328,328,387,400,421,452,496,520,537,544,581,603,633,634,671,684,691,705,711,726,742,749,762,769,776,794,804,830,837,845,858,864,874,900,900,920,926,928,929,960,979,998,998,1010,1010,1016,1046,1046,1068,1069,1093,1093,1124,1135,1135,1146,1175,1221,1292,1298,1330,1345,1347,1367,1406,1416,1448,1495,1521,1530,1553,1611,1611,1615,1669,1677,1742,1748,1781,1785,1812,1832,1857,1900,1910,1961,2004,2064,2144,2164,2206,2228,2248,2365,2377,2434,2465,2481,2500,2503,2510,2551,2566,2615,2652,2654,2654,2654,2727,2727,2727,2815,2815
82,Maluku Utara,2065,0.7%,6,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,12,14,14,14,26,26,26,26,40,41,41,50,50,50,50,50,50,54,54,54,54,78,81,85,88,92,93,95,96,97,99,99,100,107,118,119,128,139,146,153,160,174,176,177,178,185,186,186,214,227,263,285,302,310,312,315,322,343,383,400,411,431,465,560,640,661,708,719,719,728,875,940,952,953,953,953,967,1037,1077,1101,1122,1130,1143,1145,1194,1221,1232,1265,1285,1289,1328,1336,1345,1372,1409,1441,1455,1493,1524,1530,1530,1543,1557,1562,1568,1575,1582,1623,1670,1674,1680,1691,1709,1717,1729,1739,1741,1744,1746,1756,1761,1761,1770,1774,1778,1779,1809,1825,1840,1840,1858,1860,1866,1871,1878,1887,1887,1887,1896,1900,1910,1911,1918,1921,1935,1940,1956,1966,1972,1973,1992,1992,2011,2014,2035,2039,2045,2048,2048,2052,2059,2065
91,Papua,6321,2.2%,322,,0,0,2,2,3,3,7,7,7,9,9,10,10,10,16,18,26,26,26,38,38,38,62,63,68,68,75,80,89,95,107,107,118,123,130,136,136,141,151,177,189,205,210,240,240,240,247,248,252,265,277,308,308,322,328,332,335,350,383,383,389,409,410,437,494,556,567,567,581,584,640,658,675,725,819,858,875,918,1005,1064,1090,1108,1137,1156,1197,1237,1249,1249,1281,1311,1350,1368,1380,1429,1440,1495,1554,1613,1633,1670,1696,1699,1750,1846,1916,1942,1984,2021,2027,2057,2074,2101,2181,2204,2267,2365,2366,2426,2478,2496,2552,2601,2640,2646,2678,2724,2792,2832,2889,2945,2962,2988,3021,3059,3087,3114,3114,3164,3175,3192,3215,3215,3257,3278,3279,3305,3336,3345,3345,3422,3432,3432,3453,3520,3534,3567,3567,3650,3650,3686,3709,3735,3771,3796,3796,3862,3873,3901,3973,4074,4074,4148,4162,4162,4276,4330,4392,4476,4572,4637,4763,4836,4894,5099,5149,5176,5249,5387,5653,5763,5840,5953,5999,5999,6321
92,Papua Barat,2135,0.7%,47,,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,7,7,7,8,13,15,16,16,16,37,37,37,42,43,43,43,49,53,53,53,53,70,70,70,70,88,88,102,105,105,105,106,110,119,129,130,130,132,132,152,158,162,168,168,172,172,173,175,178,179,179,183,191,195,200,205,208,209,212,214,219,222,222,224,224,224,225,233,233,234,236,237,239,242,244,249,253,255,265,266,266,272,276,282,286,286,292,292,296,301,339,341,368,371,376,386,387,388,392,396,397,413,430,433,451,460,460,471,481,492,536,551,552,557,558,571,595,595,601,605,607,620,634,640,643,647,649,659,659,711,720,726,746,752,807,831,836,861,888,895,908,940,941,959,970,1019,1086,1086,1185,1236,1278,1333,1387,1435,1495,1516,1587,1674,1674,1820,1951,1990,2054,2088,2135
,Dalam proses investigasi,0,0.0%,0,,7,6,4,5,5,13,21,28,29,32,27,28,28,29,37,37,34,34,34,34,35,35,35,26,27,27,27,26,26,26,27,27,27,26,26,26,26,26,26,27,27,26,26,24,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,2,2,2,2,2,2,34,34,34,34,34,34,24,24,24,24,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total,287008,100.0%,4284,,369,450,514,579,685,790,893,1046,1155,1285,1414,1528,1677,1790,1986,2092,2273,2491,2738,2956,3293,3512,3842,4246,4557,4839,5136,5516,5923,6248,6575,6760,7135,7418,7775,8211,8607,8882,9096,9511,9771,10118,10551,10843,11192,11587,12071,12438,12776,13112,13645,14032,14265,14749,15438,16006,16496,17025,17514,18010,18496,19189,20162,20796,21745,22271,22750,23165,23851,24538,25216,25773,26473,26940,27549,28233,28818,29521,30514,31186,32033,33075,34316,35295,36406,37420,38277,39294,40400,41431,42762,43803,45029,45891,46845,47896,49009,50187,51427,52812,54010,55092,56385,57770,59394,60695,62142,63749,64958,66226,68079,70736,72347,74018,75699,76981,78572,80094,81668,83130,84882,86521,88214,89869,91751,93657,95418,97286,98778,100303,102051,104432,106336,108376,109936,111455,113134,115056,116871,118753,121226,123503,125396,127083,128776,130718,132816,135123,137468,139549,141370,143043,144945,147211,149408,151498,153535,155412,157859,160165,162884,165887,169195,172053,174796,177571,180646,184268,187537,190665,194109,196989,200035,203342,207203,210940,214746,218382,221523,225030,228993,232628,236519,240687,244676,248852,252923,257388,262022,266845,271339,275213,278722,282724,287008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diurutkan dari terbesar ke terkecil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Kalimantan Utara,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Sulawesi Tengah,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Sulawesi Utara,4487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Nusa Tenggara Timur,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,DKI Jakarta,73736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bengkulu,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dalam proses investigasi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Papua,6321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Bali,8878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jambi,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Sulawesi Selatan,15579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Sulawesi Barat,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Gorontalo,2753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Kalimantan Timur,8651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Riau,7622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,DI Yogyakarta,2643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Jawa Timur,43744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
