Kode Provinsi BPS,Provinsi,Kasus Kumulatif,% Provinsi,,,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep
21,Kepulauan Riau,2234,0.8%,34,,4,4,4,5,5,5,5,5,5,5,6,7,7,7,8,8,9,9,9,9,21,21,21,21,21,26,32,39,58,79,79,79,81,81,83,83,83,85,86,89,89,89,89,89,92,92,97,98,98,100,101,101,104,106,111,111,115,116,116,127,140,140,140,141,150,154,154,154,162,175,178,196,197,197,209,209,219,223,227,228,228,228,228,238,238,239,239,254,254,263,263,263,264,279,281,281,284,291,291,291,293,293,293,302,307,310,311,313,313,313,318,321,321,327,332,332,337,341,341,341,344,345,345,345,349,349,351,354,355,355,362,370,370,447,491,493,493,493,500,500,517,526,534,555,572,599,613,625,647,657,664,664,679,680,701,701,745,756,767,775,825,861,900,900,990,1017,1064,1100,1165,1182,1182,1235,1259,1312,1340,1357,1378,1411,1430,1438,1460,1494,1582,1627,1639,1724,1747,1864,1875,2022,2115,2170,2182,2200,2234
31,DKI Jakarta,73736,25.7%,1159,,223,267,309,354,424,462,515,589,627,674,706,746,817,897,973,1028,1131,1234,1369,1470,1706,1752,1948,2026,2205,2335,2474,2661,2815,2924,3018,3097,3260,3384,3514,3599,3684,3799,3869,4002,4092,4175,4317,4397,4460,4539,4687,4770,4855,4955,5056,5190,5276,5371,5554,5688,5774,5878,6010,6057,6155,6236,6301,6400,6515,6634,6709,6798,6896,7003,7128,7230,7348,7481,7541,7596,7690,7766,7870,8032,8123,8346,8522,8647,8740,8861,8978,9121,9222,9343,9514,9649,9829,9971,10090,10247,10404,10591,10791,10989,11112,11237,11420,11633,11821,11960,12178,12435,12667,12854,13204,13479,13735,14113,14516,14796,15064,15324,15636,15890,16225,16538,16846,17229,17598,18068,18365,18741,19125,19586,19995,20572,20969,21399,21767,22144,22616,23026,23380,23936,24601,25287,25727,26162,26624,27153,27761,28299,28882,29400,29952,30465,31016,31610,32267,32855,33470,34103,34740,35453,36213,37082,37943,39037,40086,40987,42041,43400,44280,45157,46333,47379,48393,49397,50671,51635,52840,54220,55099,56175,57469,58582,59840,60828,61966,63318,64554,65687,66731,67902,69224,70441,71339,72577,73736
32,Jawa Barat,22205,7.7%,446,,41,55,59,59,60,73,78,98,119,155,182,199,208,223,223,247,252,263,343,365,376,389,421,480,530,530,559,574,632,641,722,747,756,762,787,862,907,912,951,969,1009,1012,1012,1043,1059,1252,1300,1320,1381,1404,1437,1437,1493,1549,1556,1565,1596,1621,1652,1679,1700,1876,1962,2002,2045,2091,2113,2130,2156,2179,2211,2230,2260,2296,2314,2345,2354,2366,2376,2404,2423,2456,2507,2553,2572,2587,2604,2622,2662,2706,2760,2810,2828,2848,2870,2904,2945,2981,3018,3066,3089,3134,3222,3280,3346,3375,3468,3574,3700,3782,3881,4846,4954,5027,5077,5161,5235,5310,5350,5401,5461,5488,5598,5709,5764,5824,5915,5988,6039,6090,6218,6314,6461,6532,6584,6637,6693,6787,6912,6995,7147,7387,7566,7599,7694,7803,7914,8275,8512,8595,8640,8685,8789,8988,9081,9215,9283,9420,9670,9848,10002,10528,10815,10918,11063,11278,11481,11719,12104,12332,12505,12709,13045,13333,13668,13940,14231,14388,14591,14938,15231,15584,15925,16395,16822,17502,18077,18593,19397,20131,20517,20954,21443,21759,22205
33,Jawa Tengah,22435,7.8%,230,,12,14,15,15,19,38,40,43,55,64,80,93,104,104,113,120,120,132,133,140,144,144,144,200,203,279,292,299,304,329,348,351,449,479,538,575,621,649,666,682,711,724,746,767,776,798,849,891,904,933,959,978,980,989,1023,1066,1109,1140,1157,1165,1175,1192,1217,1234,1288,1309,1311,1315,1326,1336,1350,1366,1403,1417,1432,1455,1479,1537,1564,1615,1642,1674,1813,1832,1876,1946,2059,2175,2231,2346,2391,2471,2569,2668,2717,2766,2842,2920,3097,3294,3482,3680,3833,4006,4159,4293,4403,4611,4738,4878,5083,5203,5303,5403,5473,5573,5653,5914,6128,6366,6632,6932,7286,7407,7726,8021,8145,8336,8412,8622,8807,9120,9281,9516,9659,9732,9827,9887,10036,10151,10383,10471,10611,10679,10765,10944,11148,11340,11471,11639,11675,11793,11924,12092,12188,12288,12476,12628,12826,12973,13225,13467,13647,13785,13964,14164,14428,14670,14860,15118,15351,15615,15852,16133,16508,17074,17460,17742,17913,18111,18451,18744,18942,19213,19516,19754,19982,20239,20673,21004,21368,21626,21930,22205,22435
34,DI Yogyakarta,2643,0.9%,36,,4,5,5,5,6,16,16,22,22,17,18,23,27,27,28,33,34,40,41,41,41,41,41,41,57,61,62,63,64,67,67,69,72,75,76,77,79,82,83,93,94,95,104,114,115,115,121,122,137,143,146,153,159,169,181,185,188,194,199,200,207,209,215,220,225,226,226,226,228,228,230,233,236,237,237,237,237,238,242,244,247,249,250,252,262,264,269,272,273,276,276,277,285,288,288,291,292,299,302,304,306,306,313,314,320,324,325,331,339,346,349,357,363,370,371,379,387,396,404,408,416,432,437,465,486,496,519,536,543,558,572,587,610,674,741,760,772,784,801,819,838,854,862,876,880,900,911,946,992,1025,1041,1059,1090,1138,1163,1178,1193,1207,1248,1264,1306,1326,1373,1397,1425,1445,1474,1507,1525,1546,1557,1571,1595,1645,1695,1744,1787,1836,1869,1895,1943,1984,2037,2111,2181,2245,2312,2375,2397,2458,2499,2519,2558,2607,2643
35,Jawa Timur,43744,15.2%,294,,15,26,41,41,51,51,59,66,77,90,91,93,104,103,152,152,188,189,194,196,223,256,267,386,440,475,499,514,522,555,590,590,603,638,664,690,770,785,796,857,872,958,1034,1037,1117,1124,1171,1221,1267,1284,1419,1502,1536,1669,1772,1863,1921,2105,2152,2296,2377,2496,2998,3129,3595,3663,3886,3943,4142,4313,4414,4613,4857,4922,5135,5318,5408,5549,5835,5948,6313,6533,6806,7103,7421,7597,7793,8063,8308,8533,8917,9057,9451,9542,9857,10115,10298,10545,10901,11178,11508,11805,12136,12321,12695,13048,13461,14013,14321,14601,14967,15484,15731,16140,16658,16877,17230,17395,17574,17829,18033,18308,18545,18828,19093,19450,19946,20256,20539,20812,21125,21484,21772,22089,22324,22504,22982,23412,23829,24115,24493,24922,25330,25626,25917,26220,26561,26979,27415,27903,28239,28551,28886,29257,29715,30036,30315,30635,30998,31329,31696,32113,32754,33220,33543,33893,34278,34655,35005,35331,35634,35941,36342,36712,37093,37455,37839,38088,38431,38809,39181,39508,39993,40372,40708,41076,41417,41755,42098,42391,42670,42890,43174,43450,43744
36,Banten,5643,2.0%,144,,39,47,47,56,65,67,67,93,103,106,128,141,156,164,170,173,177,187,194,212,218,243,279,281,276,281,281,300,311,321,312,341,341,337,337,359,370,370,382,388,388,404,418,427,432,446,458,487,495,505,523,533,541,559,580,593,622,626,650,677,698,699,753,768,768,789,789,807,817,831,845,858,861,869,883,955,965,989,1025,1036,1046,1061,1097,1122,1157,1231,1240,1243,1277,1312,1327,1332,1347,1355,1364,1373,1390,1404,1415,1435,1442,1444,1456,1466,1474,1495,1508,1513,1525,1531,1548,1565,1574,1581,1594,1600,1609,1612,1629,1638,1657,1674,1685,1693,1697,1707,1719,1724,1738,1748,1757,1772,1801,1835,1858,1870,1891,1924,1947,1979,2013,2035,2059,2082,2101,2150,2187,2208,2241,2284,2301,2364,2411,2434,2470,2512,2544,2605,2637,2666,2725,2767,2827,2872,2903,2929,2997,3031,3053,3102,3187,3264,3323,3360,3402,3448,3469,3519,3574,3636,3774,3895,4036,4164,4343,4464,4593,4809,4939,5050,5185,5290,5417,5499,5643
51,Bali,8878,3.1%,133,,3,3,3,6,6,9,9,9,9,10,19,19,25,25,27,32,36,43,43,49,63,75,79,86,86,92,98,113,124,131,135,140,150,152,167,177,183,186,194,215,215,222,235,237,262,271,277,277,287,300,306,311,314,328,332,337,343,346,348,359,363,371,374,380,388,394,396,407,415,420,443,455,465,482,487,490,510,524,557,582,594,608,640,659,695,723,741,760,782,829,895,976,1013,1050,1080,1116,1158,1214,1263,1369,1414,1444,1493,1527,1640,1706,1797,1849,1900,1940,1971,2024,2110,2147,2195,2257,2358,2421,2533,2619,2690,2745,2781,2856,2934,2996,3058,3114,3157,3219,3249,3310,3360,3407,3448,3488,3529,3578,3617,3644,3682,3720,3779,3817,3862,3892,3927,3980,4024,4065,4110,4158,4220,4292,4368,4446,4513,4576,4650,4726,4808,4901,4989,5078,5207,5367,5536,5710,5906,6071,6212,6385,6549,6723,6834,6978,7113,7226,7312,7380,7429,7492,7543,7628,7749,7888,7996,8126,8245,8389,8452,8532,8639,8745,8878
52,Nusa Tenggara Barat,3316,1.2%,27,,0,0,0,0,1,2,2,2,2,2,2,4,6,6,7,7,7,10,10,10,16,25,27,37,37,37,37,45,51,55,61,72,93,108,115,153,180,195,206,221,230,230,233,250,269,269,285,289,300,312,330,330,331,339,344,350,358,365,371,375,375,393,410,464,474,478,478,488,537,562,590,594,636,652,670,685,705,757,798,808,822,830,857,868,891,904,915,937,957,978,1008,1022,1051,1056,1067,1081,1102,1119,1142,1163,1199,1213,1234,1245,1260,1283,1311,1330,1362,1392,1415,1444,1480,1520,1550,1573,1594,1620,1650,1671,1694,1725,1759,1777,1789,1822,1850,1883,1903,1926,1946,1986,2022,2065,2065,2115,2150,2171,2197,2224,2239,2263,2290,2316,2338,2362,2375,2399,2421,2436,2458,2481,2505,2526,2550,2564,2582,2596,2613,2641,2662,2685,2727,2728,2742,2758,2772,2786,2795,2828,2847,2855,2875,2890,2901,2910,2923,2939,2961,2981,2990,3009,3029,3082,3101,3126,3137,3161,3200,3218,3246,3265,3282,3289,3316
53,Nusa Tenggara Timur,424,0.1%,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,10,10,12,12,12,12,12,12,12,16,19,19,19,47,59,68,71,76,79,79,79,79,82,85,85,85,90,91,92,97,97,97,97,97,97,97,103,103,105,105,105,105,108,108,108,108,108,108,108,111,111,111,111,111,113,113,113,113,113,113,118,118,118,118,118,118,121,121,121,121,121,121,121,121,121,121,131,131,134,137,137,137,137,137,145,145,145,145,145,145,145,151,151,151,152,152,152,152,152,152,155,162,162,162,165,165,165,165,165,165,165,170,171,171,172,173,174,176,176,177,177,179,191,200,202,204,206,206,209,213,213,213,217,237,237,276,289,302,313,315,321,321,332,349,367,388,394,402,402,406,424
