Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 919.433;  16.741;   1.753;     394
Sjælland; 347.355;   4.286;     651;     130
Syddanmark; 500.231;   3.697;     346;      39
Midtjylland; 570.048;   6.124;     482;      73
Nordjylland; 263.276;   2.366;     210;      39
I alt i Danmark;2.600.343;  33.214;   3.442;     675
