Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 875.584;  15.412;   1.683;     384
Sjælland; 327.925;   3.961;     639;     129
Syddanmark; 474.591;   3.201;     327;      38
Midtjylland; 538.141;   5.155;     446;      72
Nordjylland; 250.043;   1.986;     198;      36
I alt i Danmark;2.466.284;  29.715;   3.293;     659
