Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 385.206;   7.581;   1.371;     358
Sjælland; 137.728;   2.075;     550;     124
Syddanmark; 177.687;   1.067;     257;      35
Midtjylland; 191.184;   1.681;     317;      69
Nordjylland; 102.521;     595;     139;      25
I alt i Danmark; 994.326;  12.999;   2.634;     611
