Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 207.152;   6.783;   1.176;     338
Sjælland;  78.869;   1.906;     480;     119
Syddanmark; 102.752;   1.011;     246;      34
Midtjylland; 108.487;   1.601;     289;      69
Nordjylland;  53.705;     436;     101;      22
I alt i Danmark; 550.965;  11.737;   2.292;     582
