Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 891.396;  15.878;   1.713;     386
Sjælland; 335.311;   4.066;     642;     129
Syddanmark; 484.972;   3.346;     333;      39
Midtjylland; 549.890;   5.407;     455;      73
Nordjylland; 254.675;   2.104;     200;      38
I alt i Danmark;2.516.244;  30.801;   3.343;     665
