Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 706.081;  10.560;   1.491;     367
Sjælland; 262.840;   2.873;     599;     127
Syddanmark; 384.229;   1.973;     282;      37
Midtjylland; 455.637;   3.493;     380;      71
Nordjylland; 198.820;   1.063;     162;      31
I alt i Danmark;2.007.607;  19.962;   2.914;     633
