Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 880.521;  15.559;   1.697;     386
Sjælland; 329.913;   3.999;     640;     129
Syddanmark; 477.882;   3.252;     328;      38
Midtjylland; 541.146;   5.208;     451;      73
Nordjylland; 251.155;   2.015;     200;      37
I alt i Danmark;2.480.617;  30.033;   3.316;     663
