Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 467.345;   8.018;   1.397;     361
Sjælland; 167.928;   2.316;     571;     126
Syddanmark; 216.793;   1.163;     260;      35
Midtjylland; 237.916;   1.970;     336;      69
Nordjylland; 124.202;     648;     142;      26
I alt i Danmark;1.214.184;  14.115;   2.706;     617
