Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 649.922;   9.401;   1.451;     364
Sjælland; 241.324;   2.626;     590;     127
Syddanmark; 342.275;   1.679;     271;      36
Midtjylland; 423.369;   3.264;     372;      71
Nordjylland; 184.078;     880;     155;      30
I alt i Danmark;1.840.968;  17.850;   2.839;     628
