Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 486.478;   8.120;   1.402;     363
Sjælland; 176.812;   2.369;     574;     127
Syddanmark; 227.294;   1.192;     261;      35
Midtjylland; 255.554;   2.271;     340;      69
Nordjylland; 130.301;     665;     142;      26
I alt i Danmark;1.276.439;  14.617;   2.719;     620
