Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 347.194;   7.397;   1.359;     356
Sjælland; 125.223;   2.035;     548;     124
Syddanmark; 160.177;   1.050;     255;      35
Midtjylland; 171.446;   1.661;     316;      69
Nordjylland;  91.807;     574;     133;      25
