Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 985.741;  21.303;   1.916;     414
Sjælland; 373.700;   5.236;     686;     131
Syddanmark; 542.836;   5.248;     391;      50
Midtjylland; 617.304;   8.155;     549;      76
Nordjylland; 285.026;   3.561;     243;      45
I alt i Danmark;2.804.607;  43.503;   3.785;     716
