Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 391.878;   7.638;   1.376;     358
Sjælland; 140.552;   2.097;     552;     124
Syddanmark; 180.776;   1.070;     256;      35
Midtjylland; 194.222;   1.687;     317;      69
Nordjylland; 104.297;     596;     139;      25
I alt i Danmark;1.011.725;  13.088;   2.640;     611
