Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 380.998;   7.546;   1.369;     357
Sjælland; 136.374;   2.070;     550;     124
Syddanmark; 175.833;   1.063;     256;      35
Midtjylland; 188.977;   1.679;     317;      69
Nordjylland; 101.805;     593;     139;      25
I alt i Danmark; 983.987;  12.951;   2.631;     610
