Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 333.822;   7.359;   1.357;     353
Sjælland; 121.359;   2.034;     547;     124
Syddanmark; 154.292;   1.046;     254;      35
Midtjylland; 165.342;   1.658;     315;      69
Nordjylland;  87.437;     567;     133;      25
