Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 949.051;  18.522;   1.828;     402
Sjælland; 359.335;   4.644;     665;     130
Syddanmark; 519.693;   4.393;     367;      47
Midtjylland; 590.332;   6.950;     516;      73
Nordjylland; 272.015;   2.802;     226;      42
I alt i Danmark;2.690.426;  37.311;   3.602;     694
