Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 617.647;   8.933;   1.430;     363
Sjælland; 228.556;   2.543;     590;     127
Syddanmark; 317.414;   1.478;     265;      36
Midtjylland; 398.097;   3.161;     365;      71
Nordjylland; 174.078;     832;     153;      29
I alt i Danmark;1.735.792;  16.947;   2.803;     626
