Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.036.171;  25.493;   2.058;     425
Sjælland; 395.108;   6.361;     725;     133
Syddanmark; 574.868;   6.486;     450;      53
Midtjylland; 651.122;   9.767;     595;      78
Nordjylland; 302.807;   4.459;     277;      49
I alt i Danmark;2.960.076;  52.566;   4.105;     738
