Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 612.148;   8.872;   1.429;     363
Sjælland; 226.149;   2.535;     589;     127
Syddanmark; 313.589;   1.459;     265;      36
Midtjylland; 393.349;   3.146;     364;      71
Nordjylland; 172.303;     826;     153;      28
I alt i Danmark;1.717.538;  16.838;   2.800;     625
