Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 936.255;  17.696;   1.795;     397
Sjælland; 354.280;   4.468;     658;     130
Syddanmark; 511.286;   4.075;     356;      45
Midtjylland; 582.071;   6.586;     504;      73
Nordjylland; 268.393;   2.596;     223;      41
I alt i Danmark;2.652.285;  35.421;   3.536;     686
