Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 501.040;   8.241;   1.403;     363
Sjælland; 182.828;   2.404;     577;     127
Syddanmark; 235.153;   1.220;     261;      35
Midtjylland; 271.676;   2.460;     341;      70
Nordjylland; 134.754;     686;     143;      26
I alt i Danmark;1.325.451;  15.011;   2.725;     621
