Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 494.611;   8.186;   1.402;     363
Sjælland; 180.388;   2.388;     576;     127
Syddanmark; 232.189;   1.211;     261;      35
Midtjylland; 265.700;   2.404;     340;      70
Nordjylland; 132.946;     678;     142;      26
I alt i Danmark;1.305.834;  14.867;   2.721;     621
