Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 411.589;   7.751;   1.383;     360
Sjælland; 147.174;   2.133;     553;     124
Syddanmark; 189.670;   1.075;     256;      35
Midtjylland; 205.248;   1.694;     318;      69
Nordjylland; 109.152;     607;     140;      25
I alt i Danmark;1.062.833;  13.260;   2.650;     613
