Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 422.422;   7.815;   1.385;     360
Sjælland; 150.624;   2.147;     556;     124
Syddanmark; 194.563;   1.085;     258;      35
Midtjylland; 211.124;   1.710;     318;      69
Nordjylland; 111.673;     610;     140;      25
I alt i Danmark;1.090.406;  13.367;   2.657;     613
