Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 372.445;   7.513;   1.366;     357
Sjælland; 133.514;   2.057;     549;     124
Syddanmark; 171.781;   1.059;     256;      35
Midtjylland; 184.537;   1.668;     316;      69
Nordjylland;  99.270;     592;     139;      25
I alt i Danmark; 961.547;  12.889;   2.626;     610
