Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 782.344;  12.559;   1.562;     373
Sjælland; 289.382;   3.187;     610;     128
Syddanmark; 424.141;   2.410;     295;      37
Midtjylland; 487.025;   3.887;     396;      71
Nordjylland; 221.767;   1.454;     181;      32
I alt i Danmark;2.204.659;  23.497;   3.044;     641
