Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 321.816;   7.384;   1.359;     353
Sjælland; 117.094;   2.034;     544;     123
Syddanmark; 148.511;   1.048;     255;      35
Midtjylland; 157.841;   1.656;     317;      69
Nordjylland;  82.675;     559;     132;      25
I alt i Danmark; 827.937;  12.681;   2.607;     605
