Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 200.268;   6.737;   1.169;     337
Sjælland;  76.358;   1.887;     477;     118
Syddanmark;  99.308;   1.005;     245;      34
Midtjylland; 104.669;   1.596;     290;      69
Nordjylland;  52.491;     437;     101;      22
I alt i Danmark; 533.094;  11.662;   2.282;     580
