Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 286.231;   7.244;   1.202;     353
Sjælland; 104.979;   2.020;     490;     123
Syddanmark; 133.162;   1.036;     251;      35
Midtjylland; 140.289;   1.633;     290;      69
Nordjylland;  71.549;     512;     107;      22
I alt i Danmark; 736.210;  12.445;   2.340;     602
