Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 369.485;   7.501;   1.366;     357
Sjælland; 132.636;   2.050;     549;     124
Syddanmark; 170.165;   1.057;     256;      35
Midtjylland; 183.082;   1.667;     316;      69
Nordjylland;  98.607;     590;     139;      25
I alt i Danmark; 953.975;  12.865;   2.626;     610
