Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 631.020;   9.094;   1.435;     363
Sjælland; 233.858;   2.569;     590;     127
Syddanmark; 327.736;   1.578;     268;      36
Midtjylland; 409.086;   3.210;     366;      71
Nordjylland; 178.317;     841;     153;      30
I alt i Danmark;1.780.017;  17.292;   2.812;     627
