Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 561.623;   8.602;   1.416;     363
Sjælland; 207.168;   2.486;     584;     127
Syddanmark; 279.315;   1.352;     264;      35
Midtjylland; 348.643;   2.965;     359;      71
Nordjylland; 156.966;     768;     150;      27
I alt i Danmark;1.553.715;  16.173;   2.773;     623
