Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 154.303;   6.288;   1.118;     319
Sjælland;  57.945;   1.782;     461;     114
Syddanmark;  77.168;     979;     239;      31
Midtjylland;  80.087;   1.576;     281;      69
Nordjylland;  41.277;     427;     100;      21
I alt i Danmark; 410.780;  11.052;   2.199;     554
