Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 180.922;   6.573;   1.146;     326
Sjælland;  68.507;   1.840;     474;     117
Syddanmark;  90.114;     998;     242;      34
Midtjylland;  95.284;   1.593;     288;      69
Nordjylland;  48.163;     438;     100;      22
I alt i Danmark; 482.990;  11.442;   2.250;     568
