Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 462.110;   7.992;   1.395;     360
Sjælland; 165.633;   2.298;     570;     126
Syddanmark; 213.772;   1.149;     260;      35
Midtjylland; 234.444;   1.910;     331;      69
Nordjylland; 122.738;     645;     141;      26
I alt i Danmark;1.198.697;  13.994;   2.697;     616
