Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 663.896;   9.707;   1.457;     364
Sjælland; 246.178;   2.697;     590;     127
Syddanmark; 351.448;   1.724;     273;      36
Midtjylland; 430.886;   3.300;     373;      71
Nordjylland; 187.346;     913;     157;      30
I alt i Danmark;1.879.754;  18.341;   2.850;     628
