Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 271.196;   7.152;   1.201;     351
Sjælland; 100.551;   1.993;     490;     123
Syddanmark; 127.940;   1.035;     251;      35
Midtjylland; 135.161;   1.627;     290;      69
Nordjylland;  66.866;     504;     107;      22
I alt i Danmark; 701.714;  12.311;   2.339;     600
