Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 915.512;  16.591;   1.744;     394
Sjælland; 345.590;   4.220;     650;     130
Syddanmark; 497.513;   3.606;     343;      39
Midtjylland; 566.210;   6.001;     476;      73
Nordjylland; 261.703;   2.313;     210;      38
I alt i Danmark;2.586.528;  32.731;   3.423;     674
