Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 774.054;  12.307;   1.554;     372
Sjælland; 286.803;   3.143;     609;     128
Syddanmark; 420.048;   2.357;     289;      37
Midtjylland; 483.065;   3.816;     394;      71
Nordjylland; 218.291;   1.400;     176;      32
I alt i Danmark;2.182.261;  23.023;   3.022;     640
