Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 252.884;   7.047;   1.194;     349
Sjælland;  93.863;   1.967;     485;     123
Syddanmark; 119.487;   1.031;     250;      35
Midtjylland; 126.514;   1.621;     290;      69
Nordjylland;  61.336;     473;     104;      22
I alt i Danmark; 654.084;  12.139;   2.323;     598
