Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 329.657;   7.350;   1.355;     353
Syddanmark; 152.320;   1.046;     253;      35
Midtjylland; 162.584;   1.656;     315;      69
Nordjylland;  85.630;     565;     131;      25
NA; 125.446;   2.198;     563;     124
