Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 897.983;  16.049;   1.718;     386
Sjælland; 338.004;   4.104;     644;     129
Syddanmark; 488.411;   3.412;     333;      39
Midtjylland; 554.619;   5.560;     459;      73
Nordjylland; 256.843;   2.156;     202;      38
I alt i Danmark;2.535.860;  31.281;   3.356;     665
