Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 801.429;  13.165;   1.586;     376
Sjælland; 296.455;   3.325;     617;     128
Syddanmark; 433.058;   2.528;     298;      37
Midtjylland; 495.235;   4.025;     402;      71
Nordjylland; 228.284;   1.562;     184;      33
I alt i Danmark;2.254.461;  24.605;   3.087;     645
