Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 715.777;  10.756;   1.498;     367
Sjælland; 265.966;   2.896;     601;     127
Syddanmark; 389.932;   2.019;     284;      37
Midtjylland; 459.125;   3.510;     380;      71
Nordjylland; 201.116;   1.114;     164;      31
I alt i Danmark;2.031.916;  20.295;   2.927;     633
