Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 301.813;   7.327;   1.209;     353
Sjælland; 110.823;   2.025;     494;     123
Syddanmark; 140.492;   1.041;     251;      35
Midtjylland; 148.150;   1.639;     293;      69
Nordjylland;  76.146;     522;     114;      23
I alt i Danmark; 777.424;  12.554;   2.361;     603
