Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 860.876;  14.975;   1.659;     380
Sjælland; 320.945;   3.842;     634;     129
Syddanmark; 466.240;   3.050;     322;      37
Midtjylland; 528.045;   4.867;     435;      72
Nordjylland; 245.451;   1.866;     195;      34
I alt i Danmark;2.421.557;  28.600;   3.245;     652
