Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 351.289;   7.407;   1.361;     356
Sjælland; 126.250;   2.035;     548;     124
Syddanmark; 162.167;   1.050;     255;      35
Midtjylland; 173.894;   1.661;     316;      69
Nordjylland;  93.403;     576;     135;      25
I alt i Danmark; 907.003;  12.729;   2.615;     609
