Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 171.322;   6.477;   1.141;     324
Sjælland;  64.843;   1.826;     472;     116
Syddanmark;  85.156;     991;     240;      32
Midtjylland;  89.738;   1.590;     287;      69
Nordjylland;  45.859;     434;     100;      22
I alt i Danmark; 456.918;  11.318;   2.240;     563
