Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 430.818;   7.849;   1.390;     360
Sjælland; 153.633;   2.172;     558;     125
Syddanmark; 198.549;   1.099;     258;      35
Midtjylland; 215.656;   1.719;     318;      69
Nordjylland; 113.668;     613;     140;      25
I alt i Danmark;1.112.324;  13.452;   2.664;     614
