Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 944.924;  18.225;   1.817;     399
Sjælland; 357.670;   4.576;     663;     130
Syddanmark; 517.028;   4.274;     365;      46
Midtjylland; 587.383;   6.769;     512;      73
Nordjylland; 270.690;   2.718;     225;      42
I alt i Danmark;2.677.695;  36.562;   3.582;     690
