Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 587.804;   8.715;   1.422;     363
Sjælland; 217.435;   2.509;     588;     127
Syddanmark; 297.390;   1.389;     264;      35
Midtjylland; 373.119;   3.057;     362;      71
Nordjylland; 165.124;     798;     151;      28
I alt i Danmark;1.640.872;  16.468;   2.787;     624
