Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 532.145;   8.457;   1.411;     363
Sjælland; 194.542;   2.446;     582;     127
Syddanmark; 256.641;   1.282;     261;      35
Midtjylland; 314.417;   2.807;     350;      70
Nordjylland; 146.121;     740;     145;      26
I alt i Danmark;1.443.866;  15.732;   2.749;     621
