Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 239.110;   6.982;   1.190;     347
Sjælland;  89.885;   1.951;     483;     121
Syddanmark; 115.267;   1.030;     250;      35
Midtjylland; 121.843;   1.612;     290;      69
Nordjylland;  58.833;     447;     102;      22
I alt i Danmark; 624.938;  12.022;   2.315;     594
