Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 923.047;  16.913;   1.760;     396
Sjælland; 348.883;   4.313;     652;     130
Syddanmark; 502.579;   3.786;     348;      39
Midtjylland; 572.565;   6.208;     486;      73
Nordjylland; 264.181;   2.414;     211;      39
I alt i Danmark;2.611.255;  33.634;   3.457;     677
