Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 472.378;   8.048;   1.399;     361
Sjælland; 170.236;   2.326;     572;     126
Syddanmark; 219.318;   1.172;     261;      35
Midtjylland; 241.885;   2.047;     337;      69
Nordjylland; 125.989;     654;     142;      26
I alt i Danmark;1.229.806;  14.247;   2.711;     617
