Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 228.313;   6.925;   1.190;     347
Sjælland;  86.256;   1.940;     483;     120
Syddanmark; 111.008;   1.028;     250;      35
Midtjylland; 117.284;   1.610;     290;      69
Nordjylland;  57.110;     437;     102;      22
I alt i Danmark; 599.971;  11.940;   2.315;     593
