Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 545.775;   8.531;   1.414;     363
Sjælland; 200.017;   2.461;     584;     127
Syddanmark; 265.852;   1.307;     262;      35
Midtjylland; 326.998;   2.866;     354;      70
Nordjylland; 150.267;     750;     147;      26
I alt i Danmark;1.488.909;  15.915;   2.761;     621
